year,12-month*,12-month_18+,12-month_lt18,Current_18+,Current_lt18,Current*,joined
1980,3.1,2.93,3.6,,,,3.1
1981,3.2,3.02,3.7,,,,3.2
1982,3.5,3.28,4,,,,3.5
1983,3.8,3.57,4.5,,,,3.8
1984,3.6,3.39,4.3,,,,3.6
1985,3.7,3.28,4.8,,,,3.7
1986,4.1,3.73,5.1,,,,4.1
1987,4,3.56,5.3,,,,4
1988,4.1,3.81,5,,,,4.1
1989,4.8,4.3,6.1,,,,4.8
1990,4.2,3.63,5.8,,,,4.2
1991,4.7,4.17,6.3,,,,4.7
1992,4.9,4.41,6.3,,,,4.9
1993,5.1,4.41,7.2,,,,5.1
1994,5.6,5.13,6.9,,,,5.6
1995,5.7,5.01,7.5,,,,5.7
1996,5.5,5.27,6.2,,,,5.5
1997,,,,,,,
1998,,,,,,,
1999,,,,,,,
2000,,,,,,,
2001,,,,6.9,8.7,7.3,7.3
2002,,,,6.8,8.3,7.2,7.2
2003,,,,6.4,8.5,6.9,6.9
2004,,,,6.7,8.5,7.1,7.1
2005,,,,7.2,8.9,7.7,7.7
2006,,,,7.3,9.3,7.8,7.8
2007,,,,7.3,9.1,7.7,7.7
2008,,,,7.3,9.4,7.8,7.8
2009,,,,7.7,9.6,8.2,8.2
2010,,,,,,8.4,8.4
2011,,,,,,8.5,8.5
2012,,,,,,8.3,8.3
2013,,,,,,7.3,7.3
2014,,,,,,7.7,7.7
2015,,,,,,7.8,7.8
2016,,,,,,8.3,8.3
2017,,,,,,7.9,7.9
2018,,,,7.7,7.5,7.7,7.7
