year,White,Black,Hispanic,Total,,,,,,
2001,7.2,8.4,5.8,7.3,,,,,,
2002,6.9,9.2,4.7,7.2,,,,,,
2003,6.6,8.8,5.4,6.9,,,,,,
2004,6.9,8.9,5.2,7.1,,,,,,
2005,7.4,9.5,6.2,7.7,,,,,,
2006,7.6,9,6.2,7.8,,,,,,
2007,7.4,9.8,6.9,7.7,,,,,,
2008,7.4,10,5.9,7.8,,,,,,
2009,7.8,10.8,6.4,8.2,,,,,,
2010,7.8,11.9,7.2,8.4,,,,,,
2011,8.2,11.6,7.3,8.5,,,,,,
2012,8.1,11.9,7,8.3,,,,,,
2013,7.4,9.9,5.9,7.3,,,,,,
2014,7.6,9.9,6.7,7.7,,,,,,
2015,7.8,10.3,6.6,7.8,,,,,,
2016,8.3,11.6,6.6,8.3,,,,,,
2017,8.1,10.1,6.4,7.9,,,,,,
2018,8.2,9.6,6,7.7,,,,,,
