,year,startdate,enddate,frost_season,growing_season,city,rank
0,1950,11/6/50,4/18/51,163 days 00:00:00.000000000,202,Richmond,1
1,1951,11/3/51,4/8/52,157 days 00:00:00.000000000,208,Richmond,1
2,1952,10/20/52,4/20/53,182 days 00:00:00.000000000,183,Richmond,1
3,1953,11/6/53,4/10/54,155 days 00:00:00.000000000,210,Richmond,1
4,1954,10/31/54,4/8/55,159 days 00:00:00.000000000,206,Richmond,1
5,1955,11/5/55,5/9/56,186 days 00:00:00.000000000,179,Richmond,1
6,1956,11/10/56,4/15/57,156 days 00:00:00.000000000,209,Richmond,1
7,1957,10/28/57,4/4/58,158 days 00:00:00.000000000,207,Richmond,1
8,1958,11/8/58,3/29/59,141 days 00:00:00.000000000,224,Richmond,1
9,1959,11/9/59,4/11/60,154 days 00:00:00.000000000,211,Richmond,1
10,1960,10/22/60,4/30/61,190 days 00:00:00.000000000,175,Richmond,1
11,1961,10/27/61,4/17/62,172 days 00:00:00.000000000,193,Richmond,1
12,1962,10/24/62,3/23/63,150 days 00:00:00.000000000,215,Richmond,1
13,1963,10/30/63,4/10/64,163 days 00:00:00.000000000,202,Richmond,1
14,1964,10/11/64,4/5/65,176 days 00:00:00.000000000,189,Richmond,1
15,1965,10/5/65,5/11/66,218 days 00:00:00.000000000,147,Richmond,1
16,1966,11/4/66,3/31/67,147 days 00:00:00.000000000,218,Richmond,1
17,1967,10/20/67,3/25/68,157 days 00:00:00.000000000,208,Richmond,1
18,1968,10/30/68,4/1/69,153 days 00:00:00.000000000,212,Richmond,1
19,1969,10/24/69,4/8/70,166 days 00:00:00.000000000,199,Richmond,1
20,1970,10/18/70,3/31/71,164 days 00:00:00.000000000,201,Richmond,1
21,1971,11/5/71,4/10/72,157 days 00:00:00.000000000,208,Richmond,1
22,1972,10/20/72,4/15/73,177 days 00:00:00.000000000,188,Richmond,1
23,1973,10/18/73,4/11/74,175 days 00:00:00.000000000,190,Richmond,1
24,1974,10/3/74,4/14/75,193 days 00:00:00.000000000,172,Richmond,1
25,1975,10/31/75,4/27/76,179 days 00:00:00.000000000,186,Richmond,1
26,1976,10/18/76,4/10/77,174 days 00:00:00.000000000,191,Richmond,1
27,1977,10/18/77,3/18/78,151 days 00:00:00.000000000,214,Richmond,1
28,1978,10/25/78,4/7/79,164 days 00:00:00.000000000,201,Richmond,1
29,1979,10/27/79,3/19/80,144 days 00:00:00.000000000,221,Richmond,1
30,1980,10/27/80,4/7/81,162 days 00:00:00.000000000,203,Richmond,1
31,1981,10/19/81,4/10/82,173 days 00:00:00.000000000,192,Richmond,1
32,1982,11/6/82,4/21/83,166 days 00:00:00.000000000,199,Richmond,1
33,1983,10/30/83,4/2/84,155 days 00:00:00.000000000,210,Richmond,1
34,1984,11/7/84,4/10/85,154 days 00:00:00.000000000,211,Richmond,1
35,1985,12/2/85,5/4/86,153 days 00:00:00.000000000,212,Richmond,1
36,1986,11/13/86,4/6/87,144 days 00:00:00.000000000,221,Richmond,1
37,1987,10/22/87,4/14/88,175 days 00:00:00.000000000,190,Richmond,1
38,1988,10/13/88,4/12/89,181 days 00:00:00.000000000,184,Richmond,1
39,1989,11/4/89,4/13/90,160 days 00:00:00.000000000,205,Richmond,1
40,1990,10/29/90,3/31/91,153 days 00:00:00.000000000,212,Richmond,1
41,1991,11/4/91,4/6/92,154 days 00:00:00.000000000,211,Richmond,1
42,1992,10/19/92,3/20/93,152 days 00:00:00.000000000,213,Richmond,1
43,1993,11/2/93,3/20/94,138 days 00:00:00.000000000,227,Richmond,1
44,1994,11/11/94,4/5/95,145 days 00:00:00.000000000,220,Richmond,1
45,1995,11/4/95,4/8/96,156 days 00:00:00.000000000,209,Richmond,1
46,1996,11/3/96,4/10/97,158 days 00:00:00.000000000,207,Richmond,1
47,1997,10/23/97,3/25/98,153 days 00:00:00.000000000,212,Richmond,1
48,1998,11/5/98,3/23/99,138 days 00:00:00.000000000,227,Richmond,1
49,1999,11/4/99,3/19/00,136 days 00:00:00.000000000,229,Richmond,1
50,2000,11/15/00,4/19/01,155 days 00:00:00.000000000,210,Richmond,1
51,2001,10/29/01,4/7/02,160 days 00:00:00.000000000,205,Richmond,1
52,2002,11/2/02,3/31/03,149 days 00:00:00.000000000,216,Richmond,1
53,2003,10/24/03,4/6/04,165 days 00:00:00.000000000,200,Richmond,1
54,2004,11/10/04,3/21/05,131 days 00:00:00.000000000,234,Richmond,1
55,2005,11/12/05,4/10/06,149 days 00:00:00.000000000,216,Richmond,1
56,2006,11/4/06,4/10/07,157 days 00:00:00.000000000,208,Richmond,1
57,2007,11/7/07,4/16/08,161 days 00:00:00.000000000,204,Richmond,1
58,2008,10/31/08,3/25/09,145 days 00:00:00.000000000,220,Richmond,1
59,2009,12/1/09,3/27/10,116 days 00:00:00.000000000,249,Richmond,1
60,2010,11/8/10,4/6/11,149 days 00:00:00.000000000,216,Richmond,1
61,2011,10/31/11,3/11/12,132 days 00:00:00.000000000,233,Richmond,1
62,2012,11/3/12,4/4/13,152 days 00:00:00.000000000,213,Richmond,1
63,2013,10/26/13,3/27/14,152 days 00:00:00.000000000,213,Richmond,1
64,2014,11/3/14,3/29/15,146 days 00:00:00.000000000,219,Richmond,1
65,2015,11/15/15,4/10/16,147 days 00:00:00.000000000,218,Richmond,1
66,2016,11/12/16,3/24/17,132 days 00:00:00.000000000,233,Richmond,1
67,2017,11/10/17,3/27/18,137 days 00:00:00.000000000,228,Richmond,1
68,2018,11/10/18,4/3/19,144 days 00:00:00.000000000,221,Richmond,1
69,2019,11/4/19,5/10/20,188 days 00:00:00.000000000,177,Richmond,1
0,1950,10/5/50,4/21/51,198 days 00:00:00.000000000,167,Scranton,2
1,1951,9/30/51,4/12/52,195 days 00:00:00.000000000,170,Scranton,2
2,1952,10/8/52,4/20/53,194 days 00:00:00.000000000,171,Scranton,2
3,1953,10/8/53,4/9/54,183 days 00:00:00.000000000,182,Scranton,2
4,1954,10/7/54,12/31/54,85 days 00:00:00.000000000,280,Scranton,2
5,1955,10/22/55,5/25/56,216 days 00:00:00.000000000,149,Scranton,2
6,1956,9/21/56,5/17/57,238 days 00:00:00.000000000,127,Scranton,2
7,1957,9/27/57,4/13/58,198 days 00:00:00.000000000,167,Scranton,2
8,1958,10/2/58,4/22/59,202 days 00:00:00.000000000,163,Scranton,2
9,1959,10/19/59,4/19/60,183 days 00:00:00.000000000,182,Scranton,2
10,1960,10/21/60,4/30/61,191 days 00:00:00.000000000,174,Scranton,2
11,1961,10/5/61,4/21/62,198 days 00:00:00.000000000,167,Scranton,2
12,1962,10/24/62,5/24/63,212 days 00:00:00.000000000,153,Scranton,2
13,1963,9/24/63,4/10/64,199 days 00:00:00.000000000,166,Scranton,2
14,1964,10/6/64,4/6/65,182 days 00:00:00.000000000,183,Scranton,2
15,1965,10/5/65,5/11/66,218 days 00:00:00.000000000,147,Scranton,2
16,1966,10/27/66,4/26/67,181 days 00:00:00.000000000,184,Scranton,2
17,1967,10/29/67,4/7/68,161 days 00:00:00.000000000,204,Scranton,2
18,1968,10/30/68,4/12/69,164 days 00:00:00.000000000,201,Scranton,2
19,1969,10/22/69,5/7/70,197 days 00:00:00.000000000,168,Scranton,2
20,1970,10/17/70,4/25/71,190 days 00:00:00.000000000,175,Scranton,2
21,1971,11/5/71,4/28/72,175 days 00:00:00.000000000,190,Scranton,2
22,1972,10/10/72,5/17/73,219 days 00:00:00.000000000,146,Scranton,2
