Date,Subs,Name,Views
2014-12-08,5,Jinx,132
2014-12-09,1,Jinx,93
2014-12-10,1,Jinx,77
2014-12-11,1,Jinx,95
2014-12-12,2,Jinx,142
2014-12-14,1,Jinx,0
2014-12-15,1,Jinx,111
2014-12-17,0,Jinx,82
2014-12-19,1,Jinx,150
2014-12-24,1,Jinx,7
2014-12-25,-1,Jinx,131
2014-12-31,-1,Jinx,57
2015-01-07,0,Jinx,52
2015-01-14,1,Jinx,37
2015-01-17,6,Jinx,91
2015-01-21,8,Jinx,325
2015-01-24,2,Jinx,304
2015-01-25,29,Jinx,1230
2015-01-27,13,Jinx,1194
2015-01-28,23,Jinx,1950
2015-01-29,15,Jinx,3491
2015-01-30,79,Jinx,10839
2015-02-01,4,Jinx,0
2015-02-02,57,Jinx,16748
2015-02-03,34,Jinx,7645
2015-02-04,16,Jinx,8516
2015-02-05,21,Jinx,9156
2015-02-06,46,Jinx,10349
2015-02-07,16,Jinx,9981
2015-02-08,38,Jinx,0
2015-02-09,50,Jinx,30313
2015-02-10,108,Jinx,20855
2015-02-13,21,Jinx,10657
2015-02-14,107,Jinx,34440
2015-02-16,45,Jinx,0
2015-02-17,68,Jinx,23688
2015-02-18,98,Jinx,12921
2015-02-20,67,Jinx,14902
2015-02-21,60,Jinx,17712
2015-02-22,101,Jinx,0
2015-02-23,147,Jinx,0
2015-02-24,76,Jinx,40349
2015-02-25,75,Jinx,57210
2015-02-26,23,Jinx,0
2015-02-27,167,Jinx,44990
2015-02-28,162,Jinx,0
2015-03-01,136,Jinx,25772
2015-03-02,84,Jinx,26733
2015-03-03,130,Jinx,23912
2015-03-04,144,Jinx,24760
2015-03-05,132,Jinx,0
2015-03-06,9,Jinx,0
2015-03-07,248,Jinx,0
2015-03-08,133,Jinx,0
2015-03-09,275,Jinx,114531
2015-03-10,190,Jinx,37987
2015-03-11,177,Jinx,34575
2015-03-12,95,Jinx,0
2015-03-13,527,Jinx,0
2015-03-14,459,Jinx,130521
2015-03-15,188,Jinx,156498
2015-03-16,417,Jinx,107236
2015-03-17,15,Jinx,0
2015-03-18,333,Jinx,0
2015-03-19,250,Jinx,0
2015-03-20,489,Jinx,160852
2015-03-21,388,Jinx,0
2015-03-22,175,Jinx,0
2015-03-23,237,Jinx,0
2015-03-24,323,Jinx,244391
2015-03-25,537,Jinx,57267
2015-03-26,412,Jinx,0
2015-03-27,353,Jinx,114308
2015-03-28,703,Jinx,62777
2015-03-29,522,Jinx,76144
2015-03-30,531,Jinx,146839
2015-03-31,430,Jinx,0
2015-04-01,590,Jinx,140705
2015-04-02,604,Jinx,0
2015-04-03,674,Jinx,89399
2015-04-04,561,Jinx,0
2015-04-05,807,Jinx,199962
2015-04-06,475,Jinx,95929
2015-04-07,1119,Jinx,109145
2015-04-08,1899,Jinx,110354
2015-04-09,751,Jinx,137513
2015-04-10,1359,Jinx,145154
2015-04-11,1359,Jinx,158816
2015-04-12,1340,Jinx,0
2015-04-13,1482,Jinx,357275
2015-04-14,1656,Jinx,169563
2015-04-15,1906,Jinx,386128
2015-04-16,1616,Jinx,0
2015-04-17,1997,Jinx,223838
2015-04-18,2216,Jinx,249303
2015-04-19,2366,Jinx,287333
2015-04-20,2388,Jinx,296899
2015-04-21,2210,Jinx,0
2015-04-22,2802,Jinx,573412
2015-04-23,2401,Jinx,321524
2015-04-24,3570,Jinx,0
2015-04-25,3383,Jinx,676741
2015-04-26,3007,Jinx,439765
2015-04-27,3689,Jinx,421014
2015-04-28,4149,Jinx,399519
2015-04-29,4162,Jinx,817467
2015-04-30,4418,Jinx,0
2015-05-01,7231,Jinx,1025512
2015-05-02,12596,Jinx,0
2015-05-03,12806,Jinx,763829
2015-05-04,12231,Jinx,981271
2015-05-05,12498,Jinx,1990042
2015-05-06,10571,Jinx,0
2015-05-07,7414,Jinx,1107045
2015-05-08,8229,Jinx,1992522
2015-05-09,7303,Jinx,0
2015-05-10,6622,Jinx,2094872
2015-05-11,5449,Jinx,0
2015-05-12,5461,Jinx,825856
2015-05-13,6138,Jinx,752325
2015-05-14,6168,Jinx,680840
2015-05-15,6984,Jinx,850558
2015-05-16,6893,Jinx,887616
2015-05-17,6092,Jinx,1083284
2015-05-18,5057,Jinx,2035621
2015-05-19,5017,Jinx,0
2015-05-20,5541,Jinx,852192
2015-05-21,6161,Jinx,1843679
2015-05-22,7797,Jinx,1014256
2015-05-23,9350,Jinx,0
2015-05-24,11843,Jinx,2668588
2015-05-25,13133,Jinx,1658246
2015-05-26,11936,Jinx,0
2015-05-27,10550,Jinx,1591505
2015-05-28,9000,Jinx,1492451
2015-05-29,9444,Jinx,1472558
2015-05-30,10502,Jinx,2907697
2015-05-31,11968,Jinx,0
2015-06-01,11869,Jinx,1619344
2015-06-02,10314,Jinx,1746738
2015-06-03,9845,Jinx,1670355
2015-06-04,9109,Jinx,1689729
2015-06-05,10187,Jinx,1671381
2015-06-06,11447,Jinx,3532755
2015-06-07,12757,Jinx,0
2015-06-08,10580,Jinx,0
2015-06-09,7981,Jinx,4074521
2015-06-10,6765,Jinx,0
2015-06-11,7862,Jinx,3473537
2015-06-12,6983,Jinx,3334467
2015-06-13,8126,Jinx,1655216
2015-06-14,6229,Jinx,0
2015-06-15,8766,Jinx,1622693
2015-06-16,8575,Jinx,3452670
2015-06-17,8448,Jinx,1636675
2015-06-18,7858,Jinx,0
2015-06-19,7158,Jinx,3243851
2015-06-20,6885,Jinx,1638949
2015-06-21,7061,Jinx,0
2015-06-22,7973,Jinx,0
2015-06-23,7851,Jinx,3368875
2015-06-24,6424,Jinx,1738632
2015-06-25,7101,Jinx,0
2015-06-26,6036,Jinx,3332925
2015-06-27,6154,Jinx,1745378
2015-06-28,7234,Jinx,1081786
2015-06-29,5939,Jinx,0
2015-06-30,6146,Jinx,0
2015-07-01,7050,Jinx,0
2015-07-02,6595,Jinx,5074797
2015-07-03,4814,Jinx,3592458
2015-07-04,7249,Jinx,1489668
2015-07-05,7321,Jinx,1451392
2015-07-06,8160,Jinx,1835149
2015-07-07,8299,Jinx,1995451
2015-07-08,7101,Jinx,1933931
2015-07-09,6578,Jinx,1905727
2015-07-10,5168,Jinx,1990830
2015-07-11,7603,Jinx,1737928
2015-07-12,7462,Jinx,1656874
2015-07-13,7692,Jinx,1711935
2015-07-14,7750,Jinx,1924173
2015-07-15,8256,Jinx,1904256
2015-07-16,8516,Jinx,1826872
2015-07-17,7952,Jinx,3786454
2015-07-18,8055,Jinx,1823423
2015-07-19,8852,Jinx,0
2015-07-20,7291,Jinx,0
2015-07-21,8588,Jinx,3776596
2015-07-22,9957,Jinx,2252642
2015-07-23,6740,Jinx,1979891
2015-07-24,7899,Jinx,1783490
2015-07-25,7652,Jinx,1585565
2015-07-26,8094,Jinx,1417969
2015-07-27,8870,Jinx,1498022
2015-07-28,8502,Jinx,0
2015-07-29,8001,Jinx,3336947
2015-07-30,9661,Jinx,1760918
2015-07-31,8119,Jinx,1812686
2015-08-01,7385,Jinx,1928437
2015-08-02,7842,Jinx,1783037
2015-08-03,7629,Jinx,0
2015-08-04,7392,Jinx,1779817
2015-08-05,6757,Jinx,3771328
2015-08-06,6482,Jinx,1831082
2015-08-07,5003,Jinx,1699804
2015-08-08,6255,Jinx,0
2015-08-09,4856,Jinx,3240190
2015-08-10,3847,Jinx,0
2015-08-11,8861,Jinx,3396101
