Date,Subs,Name,Total
2015-11-13,6127,Jinx,1260181
2015-11-14,4669,Jinx,1266308
2015-11-15,4665,Jinx,1270977
2015-11-16,3468,Jinx,1275642
2015-11-17,4316,Jinx,1279110
2015-11-18,3291,Jinx,1283426
2015-11-19,3288,Jinx,1286717
2015-11-20,5846,Jinx,1290005
2015-11-21,4518,Jinx,1295851
2015-11-22,5690,Jinx,1300369
2015-11-23,4408,Jinx,1306059
2015-11-24,3642,Jinx,1310467
2015-11-25,4694,Jinx,1314109
2015-11-26,3484,Jinx,1318803
2015-11-27,4992,Jinx,1322287
2015-11-28,4992,Jinx,1327279
2015-11-29,3920,Jinx,1332271
2015-11-30,3672,Jinx,1336191
2015-12-01,3611,Jinx,1339863
2015-12-02,3873,Jinx,1343474
2015-12-03,3429,Jinx,1347347
2015-12-04,5034,Jinx,1350776
2015-12-05,5523,Jinx,1355810
2015-12-06,4191,Jinx,1361333
2015-12-07,3401,Jinx,1365524
2015-12-08,3315,Jinx,1368925
2015-12-09,3202,Jinx,1372240
2015-12-10,2980,Jinx,1375442
2015-12-11,3525,Jinx,1378422
2015-12-12,2810,Jinx,1381947
2015-12-13,2387,Jinx,1384757
2015-12-14,2199,Jinx,1387144
2015-12-15,2210,Jinx,1389343
2015-12-16,2336,Jinx,1391553
2015-12-17,2187,Jinx,1393889
2015-12-18,3352,Jinx,1396076
2015-12-19,1809,Jinx,1399428
2015-12-20,3122,Jinx,1401237
2015-12-21,2592,Jinx,1404359
2015-12-22,2830,Jinx,1406951
2015-12-23,3071,Jinx,1409781
2015-12-24,2551,Jinx,1412852
2015-12-25,2189,Jinx,1415403
2015-12-26,2827,Jinx,1417592
2015-12-27,3323,Jinx,1420419
2015-12-28,2498,Jinx,1423742
2015-12-29,3881,Jinx,1426240
2015-12-30,3089,Jinx,1430121
2015-12-31,2839,Jinx,1433210
2016-01-01,2878,Jinx,1436049
2016-01-02,2382,Jinx,1438927
2016-01-03,2906,Jinx,1441309
2016-01-04,1280,Jinx,1444215
2016-01-05,2131,Jinx,1445495
2016-01-06,1847,Jinx,1447626
2016-01-07,2238,Jinx,1449473
2016-01-08,2955,Jinx,1451711
2016-01-09,3453,Jinx,1454666
2016-01-10,2535,Jinx,1458119
2016-01-11,2522,Jinx,1460654
2016-01-12,2292,Jinx,1463176
2016-01-13,1956,Jinx,1465468
2016-01-02,9290,Fine Bros,13859381
2016-01-03,12023,Fine Bros,13868671
2016-01-04,8959,Fine Bros,13880694
2016-01-05,8368,Fine Bros,13889653
2016-01-06,7801,Fine Bros,13898021
2016-01-07,12632,Fine Bros,13905822
2016-01-08,10346,Fine Bros,13918454
2016-01-09,9870,Fine Bros,13928800
2016-01-10,8876,Fine Bros,13938670
2016-01-11,9743,Fine Bros,13947546
2016-01-12,6734,Fine Bros,13957289
2016-01-13,7170,Fine Bros,13964023
2016-01-14,9489,Fine Bros,13971193
2016-01-15,8688,Fine Bros,13980682
2016-01-16,8853,Fine Bros,13989370
2016-01-17,10995,Fine Bros,13998223
2016-01-18,6901,Fine Bros,14009218
2016-01-19,6669,Fine Bros,14016119
2016-01-20,5965,Fine Bros,14022788
2016-01-21,7837,Fine Bros,14028753
2016-01-22,8089,Fine Bros,14036590
2016-01-23,9025,Fine Bros,14044679
2016-01-24,8364,Fine Bros,14053704
2016-01-25,9946,Fine Bros,14062068
2016-01-26,8094,Fine Bros,14072014
2016-01-27,-275,Fine Bros,14080108
2016-01-28,-1082,Fine Bros,14079833
2016-01-29,-9629,Fine Bros,14078751
2016-01-30,-115091,Fine Bros,14069122
2016-01-31,-142606,Fine Bros,13954031
2016-02-01,-95088,Fine Bros,13811425
2016-02-02,-39073,Fine Bros,13716337
2016-02-03,-32997,Fine Bros,13677264
2016-02-04,-15401,Fine Bros,13644267
2016-02-05,-10826,Fine Bros,13628866
2016-02-06,-16446,Fine Bros,13618040
2016-02-07,-8552,Fine Bros,13601594
2016-02-08,-2733,Fine Bros,13593042
2016-02-09,-1133,Fine Bros,13590309
2016-02-10,-5494,Fine Bros,13589176
2016-02-11,-1093,Fine Bros,13583682
2016-02-12,510,Fine Bros,13582589
2016-02-13,-2052,Fine Bros,13583099
2016-02-14,584,Fine Bros,13581047
2016-02-15,1040,Fine Bros,13581631
2016-02-16,-1871,Fine Bros,13582671
2016-02-17,-1621,Fine Bros,13580800
2016-02-18,-254,Fine Bros,13579179
2016-02-19,741,Fine Bros,13578925
2016-02-20,-1166,Fine Bros,13579666
2016-02-21,3643,Fine Bros,13578500
2016-02-22,5104,Fine Bros,13582143
2016-02-23,2703,Fine Bros,13587247
2016-02-24,-1651,Fine Bros,13589950
2016-02-25,1704,Fine Bros,13588299
2016-02-26,-53,Fine Bros,13590003
2016-02-27,-965,Fine Bros,13589950
2016-02-28,765,Fine Bros,13588985
2016-02-29,1037,Fine Bros,13589750
2016-03-01,2809,Fine Bros,13590787
2016-03-02,1322,Fine Bros,13593596
2016-04-05,23851,Keemstar,1248530
2016-04-06,13927,Keemstar,1272381
2016-04-07,12856,Keemstar,1286308
2016-04-08,11543,Keemstar,1299164
2016-04-09,18945,Keemstar,1310707
2016-04-10,20906,Keemstar,1329652
2016-04-11,13232,Keemstar,1350558
2016-04-12,11530,Keemstar,1363790
2016-04-13,7053,Keemstar,1375320
2016-04-14,4398,Keemstar,1382373
2016-04-15,4465,Keemstar,1386771
2016-04-16,12980,Keemstar,1391236
2016-04-17,10129,Keemstar,1404216
2016-04-18,7911,Keemstar,1414345
2016-04-19,7049,Keemstar,1422256
2016-04-20,4329,Keemstar,1429305
2016-04-21,4315,Keemstar,1433634
2016-04-22,4594,Keemstar,1437949
2016-04-23,4647,Keemstar,1442543
2016-04-24,3829,Keemstar,1447190
2016-04-25,3283,Keemstar,1451019
2016-04-26,3123,Keemstar,1454302
2016-04-27,2232,Keemstar,1457425
2016-04-28,3205,Keemstar,1459657
2016-04-29,3782,Keemstar,1462862
2016-04-30,5954,Keemstar,1466644
2016-05-01,5286,Keemstar,1472598
2016-05-02,5159,Keemstar,1477884
2016-05-03,8245,Keemstar,1483043
2016-05-04,5659,Keemstar,1491288
2016-05-05,3379,Keemstar,1496947
2016-05-06,10751,Keemstar,1500326
2016-05-07,6433,Keemstar,1511077
2016-05-08,7591,Keemstar,1517510
2016-05-09,5552,Keemstar,1525101
2016-05-10,6764,Keemstar,1530653
2016-05-11,4624,Keemstar,1537417
2016-05-12,2948,Keemstar,1542041
2016-05-13,3649,Keemstar,1544989
2016-05-14,3014,Keemstar,1548638
2016-05-15,3386,Keemstar,1551652
2016-05-16,2900,Keemstar,1555038
2016-05-17,3144,Keemstar,1557938
2016-05-18,2858,Keemstar,1561082
2016-05-19,2660,Keemstar,1563940
2016-05-20,3445,Keemstar,1566600
2016-05-21,3164,Keemstar,1570045
2016-05-22,2663,Keemstar,1573209
2016-05-23,2444,Keemstar,1575872
2016-05-24,5030,Keemstar,1578316
2016-05-25,4403,Keemstar,1583346
2016-05-26,3616,Keemstar,1587749
2016-05-27,3481,Keemstar,1591365
2016-05-28,3186,Keemstar,1594846
2016-05-29,5104,Keemstar,1598032
2016-05-30,4594,Keemstar,1603136
2016-05-31,6396,Keemstar,1607730
2016-06-01,5481,Keemstar,1614126
2016-06-02,9339,Keemstar,1619607
2016-06-03,6224,Keemstar,1628946
2016-06-04,5522,Keemstar,1635170
2016-06-05,4771,Keemstar,1640692
2016-07-12,5274,HowToPRANKItUp,3066358
2016-07-13,3840,HowToPRANKItUp,3071632
2016-07-14,3930,HowToPRANKItUp,3075472
2016-07-15,2438,HowToPRANKItUp,3079402
2016-07-16,3979,HowToPRANKItUp,3081840
2016-07-17,4289,HowToPRANKItUp,3085819
2016-07-18,4616,HowToPRANKItUp,3090108
2016-07-19,3757,HowToPRANKItUp,3094724
2016-07-20,3829,HowToPRANKItUp,3098481
2016-07-21,3434,HowToPRANKItUp,3102310
2016-07-22,2416,HowToPRANKItUp,3105744
2016-07-23,2837,HowToPRANKItUp,3108160
2016-07-24,2408,HowToPRANKItUp,3110997
2016-07-25,2214,HowToPRANKItUp,3113405
2016-07-26,3005,HowToPRANKItUp,3115619
2016-07-27,2707,HowToPRANKItUp,3118624
2016-07-28,2833,HowToPRANKItUp,3121331
2016-07-29,3355,HowToPRANKItUp,3124164
2016-07-30,2881,HowToPRANKItUp,3127519
2016-07-31,10049,HowToPRANKItUp,3130400
2016-08-01,5138,HowToPRANKItUp,3140449
2016-08-02,8458,HowToPRANKItUp,3145587
2016-08-03,4669,HowToPRANKItUp,3154045
2016-08-04,4334,HowToPRANKItUp,3158714
2016-08-05,3705,HowToPRANKItUp,3163048
2016-08-06,2674,HowToPRANKItUp,3166753
2016-08-07,3095,HowToPRANKItUp,3169427
2016-08-08,3362,HowToPRANKItUp,3172522
2016-08-09,2635,HowToPRANKItUp,3175884
2016-08-10,1942,HowToPRANKItUp,3178519
2016-08-11,2020,HowToPRANKItUp,3180461
2016-08-12,2077,HowToPRANKItUp,3182481
2016-08-13,1751,HowToPRANKItUp,3184558
2016-08-14,1688,HowToPRANKItUp,3186309
2016-08-15,606,HowToPRANKItUp,3187997
2016-08-16,901,HowToPRANKItUp,3188603
2016-08-17,3000,HowToPRANKItUp,3189504
2016-08-18,3541,HowToPRANKItUp,3192504
2016-08-19,5019,HowToPRANKItUp,3196045
2016-08-20,4340,HowToPRANKItUp,3201064
2016-08-21,5323,HowToPRANKItUp,3205404
2016-08-22,6514,HowToPRANKItUp,3210727
2016-08-23,4281,HowToPRANKItUp,3217241
2016-08-24,2890,HowToPRANKItUp,3221522
2016-08-25,2651,HowToPRANKItUp,3224412
2016-08-26,3360,HowToPRANKItUp,3227063
2016-08-27,2390,HowToPRANKItUp,3230423
2016-08-28,1792,HowToPRANKItUp,3232813
2016-08-29,1804,HowToPRANKItUp,3234605
2016-08-30,1774,HowToPRANKItUp,3236409
2016-08-31,1492,HowToPRANKItUp,3238183
2016-09-01,1922,HowToPRANKItUp,3239675
2016-09-02,1928,HowToPRANKItUp,3241597
2016-09-03,2053,HowToPRANKItUp,3243525
2016-09-04,1581,HowToPRANKItUp,3245578
2016-09-05,2300,HowToPRANKItUp,3247159
2016-09-06,2039,HowToPRANKItUp,3249459
2016-09-07,1992,HowToPRANKItUp,3251498
2016-09-08,2859,HowToPRANKItUp,3253490
2016-09-09,3359,HowToPRANKItUp,3256349
2016-09-10,8598,HowToPRANKItUp,3259708
2016-09-11,7663,HowToPRANKItUp,3268306
2016-09-12,4833,HowToPRANKItUp,3275969
2016-08-13,16675,LeafyIsHere,4457205
2016-08-14,19552,LeafyIsHere,4473880
2016-08-15,13991,LeafyIsHere,4493432
2016-08-16,12523,LeafyIsHere,4507423
2016-08-17,11758,LeafyIsHere,4519946
2016-08-18,14209,LeafyIsHere,4531704
2016-08-19,18043,LeafyIsHere,4545913
2016-08-20,16453,LeafyIsHere,4563956
2016-08-21,15844,LeafyIsHere,4580409
2016-08-22,18637,LeafyIsHere,4596253
2016-08-23,16843,LeafyIsHere,4614890
2016-08-24,12320,LeafyIsHere,4631733
2016-08-25,13054,LeafyIsHere,4644053
2016-08-26,10809,LeafyIsHere,4657107
2016-08-27,9888,LeafyIsHere,4667916
2016-08-28,7393,LeafyIsHere,4677804
2016-08-29,7353,LeafyIsHere,4685197
2016-08-30,8603,LeafyIsHere,4692550
2016-08-31,8015,LeafyIsHere,4701153
2016-09-01,9384,LeafyIsHere,4709168
2016-09-02,11942,LeafyIsHere,4718552
2016-09-03,13272,LeafyIsHere,4730494
2016-09-04,11101,LeafyIsHere,4743766
2016-09-05,7910,LeafyIsHere,4754867
2016-09-06,7283,LeafyIsHere,4762777
2016-09-07,8377,LeafyIsHere,4770060
2016-09-08,3858,LeafyIsHere,4778437
2016-09-09,8161,LeafyIsHere,4782295
2016-09-10,12664,LeafyIsHere,4790456
2016-09-11,-1517,LeafyIsHere,4803120
2016-09-12,-6764,LeafyIsHere,4801603
2016-09-13,-1084,LeafyIsHere,4794839
2016-09-14,4698,LeafyIsHere,4793755
2016-09-15,1057,LeafyIsHere,4798453
2016-09-16,-1670,LeafyIsHere,4799510
2016-09-17,3385,LeafyIsHere,4797840
2016-09-18,3392,LeafyIsHere,4801225
2016-09-19,5993,LeafyIsHere,4804617
2016-09-20,5945,LeafyIsHere,4810610
2016-09-21,4754,LeafyIsHere,4816555
2016-09-22,528,LeafyIsHere,4821309
2016-09-23,4121,LeafyIsHere,4821837
2016-09-24,-3096,LeafyIsHere,4825958
2016-09-25,-329,LeafyIsHere,4822862
2016-09-26,1249,LeafyIsHere,4822533
2016-09-27,-1207,LeafyIsHere,4823782
2016-09-28,60,LeafyIsHere,4822575
2016-09-29,2076,LeafyIsHere,4822635
2016-09-30,-1042,LeafyIsHere,4824711
2016-10-01,320,LeafyIsHere,4823669
2016-10-02,-15679,LeafyIsHere,4823989
2016-10-03,-4621,LeafyIsHere,4808310
2016-10-04,-3290,LeafyIsHere,4803689
2016-10-05,-7844,LeafyIsHere,4800399
2016-10-06,-3853,LeafyIsHere,4792555
2016-10-07,-6039,LeafyIsHere,4788702
2016-10-08,501,LeafyIsHere,4782663
2016-10-09,241,LeafyIsHere,4783164
2016-10-10,-2629,LeafyIsHere,4783405
2016-10-11,-1712,LeafyIsHere,4780776
2016-10-12,1395,LeafyIsHere,4779064
2016-10-13,-6929,LeafyIsHere,4780459
2017-01-06,6493,Tana Mongeau,2335816
2017-01-07,6049,Tana Mongeau,2342309
2017-01-08,4994,Tana Mongeau,2348358
2017-01-09,4843,Tana Mongeau,2353352
2017-01-10,4182,Tana Mongeau,2358195
2017-01-11,4909,Tana Mongeau,2362377
2017-01-12,4355,Tana Mongeau,2367286
2017-01-13,4535,Tana Mongeau,2371641
2017-01-14,5350,Tana Mongeau,2376176
2017-01-15,4356,Tana Mongeau,2381526
2017-01-16,3585,Tana Mongeau,2385882
2017-01-17,3866,Tana Mongeau,2389467
2017-01-18,3684,Tana Mongeau,2393333
2017-01-19,5172,Tana Mongeau,2397017
2017-01-20,12513,Tana Mongeau,2402189
2017-01-21,7394,Tana Mongeau,2414702
2017-01-22,5015,Tana Mongeau,2422096
2017-01-23,3122,Tana Mongeau,2427111
2017-01-24,5713,Tana Mongeau,2430233
2017-01-25,3987,Tana Mongeau,2435946
2017-01-26,3903,Tana Mongeau,2439933
2017-01-27,3750,Tana Mongeau,2443836
2017-01-28,4067,Tana Mongeau,2447586
2017-01-29,1791,Tana Mongeau,2451653
2017-01-30,1173,Tana Mongeau,2453444
2017-01-31,1747,Tana Mongeau,2454617
2017-02-01,1657,Tana Mongeau,2456364
2017-02-02,1103,Tana Mongeau,2458021
2017-02-03,1594,Tana Mongeau,2459124
2017-02-04,998,Tana Mongeau,2460718
2017-02-05,-3915,Tana Mongeau,2461716
2017-02-06,-8641,Tana Mongeau,2457801
2017-02-07,0,Tana Mongeau,2449160
2017-02-08,-3609,Tana Mongeau,2449160
2017-02-09,41,Tana Mongeau,2445551
2017-02-10,-69,Tana Mongeau,2445592
2017-02-11,437,Tana Mongeau,2445523
2017-02-12,-828,Tana Mongeau,2445960
2017-02-13,-93,Tana Mongeau,2445132
