ref,cand,date,url
biden-trump debate,both,9/29,https://www.rev.com/blog/transcripts/donald-trump-joe-biden-1st-presidential-debate-transcript-2020
biden-cleveland speech,biden,9/30,https://www.rev.com/blog/transcripts/joe-biden-train-tour-speech-transcript-cleveland-ohio-september-30
biden-johnstown speech,biden,9/30,https://www.rev.com/blog/transcripts/joe-biden-train-tour-campaign-speech-transcript-johnstown-pa-september-30-night-after-debate
biden-michigan speech,biden,10/2,https://www.rev.com/blog/transcripts/joe-biden-grand-rapids-michigan-speech-transcript-october-2
biden-virtual speech,biden,10/3,https://www.rev.com/blog/transcripts/joe-biden-campaign-speech-transcript-october-3
biden-miami speech,biden,10/5,https://www.rev.com/blog/transcripts/joe-biden-miami-campaign-speech-transcript-october-5
biden-getty-speech,biden,10/6,https://www.rev.com/blog/transcripts/joe-biden-gettysburg-campaign-speech-transcript-october-6
biden-vegas-visit,biden,10/9,https://www.rev.com/blog/transcripts/joe-biden-community-center-visit-las-vegas-transcript-october-9
biden-erie-speech,biden,10/10,https://www.rev.com/blog/transcripts/joe-biden-erie-pennsylvania-speech-transcript-october-10
biden-toledo-speech,biden,10/12,https://www.rev.com/blog/transcripts/joe-biden-campaign-speech-toledo-ohio-transcript-october-12
biden-pembroke-speech,biden,10/13,https://www.rev.com/blog/transcripts/joe-biden-campaign-speech-pembroke-pines-florida-transcript-october-13-talks-social-security
biden-townhall,biden,10/15,https://www.rev.com/blog/transcripts/joe-biden-abc-town-hall-transcript-october-15
trump-duluth rally,trump,9/30,https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate
trump-hannity interview,trump,10/1,https://www.rev.com/blog/transcripts/donald-trump-sean-hannity-interview-transcript-after-debate-condemns-white-supremacists-talks-hope-hicks-testing-positive-for-covid
trump-w speech,trump,10/3,https://www.rev.com/blog/transcripts/donald-trump-video-transcript-from-walter-reed-medical-center-with-covid-update
trump-wr speech,trump,10/4,https://www.rev.com/blog/transcripts/donald-trump-remarks-from-walter-reed-hospital-transcript-october-4
trump-walterreed speech,trump,10/5,https://www.rev.com/blog/transcripts/donald-trump-video-speech-transcript-after-release-from-walter-reed-hospital-october-5
trump-remarks,trump,10/7,https://www.rev.com/blog/transcripts/donald-trump-remarks-transcript-calls-contracting-covid-19-blessing-from-god-october-7
trump-wh-speech,trump,10/10,https://www.rev.com/blog/transcripts/donald-trump-white-house-rally-speech-transcript-october-10-first-event-since-covid-diagnosis
trump-sanford-rally,trump,10/12,https://www.rev.com/blog/transcripts/donald-trump-campaign-rally-sanford-florida-transcript-october-12-first-rally-since-diagnosis
trump-johnstown-rally,trump,10/13,https://www.rev.com/blog/transcripts/donald-trump-rally-johnstown-pa-transcript-october-13
trump-desmoines-rally,trump,10/14,https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14
trump-town-hall,trump,10/15,https://www.rev.com/blog/transcripts/donald-trump-nbc-town-hall-transcript-october-15
