Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,1999,1999,790,4430141,17.8
,Alabama,1,2000,2000,766,4447100,17.2
,Alabama,1,2001,2001,737,4467634,16.5
,Alabama,1,2002,2002,724,4480089,16.2
,Alabama,1,2003,2003,765,4503491,17
,Alabama,1,2004,2004,679,4530729,15
,Alabama,1,2005,2005,736,4569805,16.1
,Alabama,1,2006,2006,780,4628981,16.9
,Alabama,1,2007,2007,812,4672840,17.4
,Alabama,1,2008,2008,820,4718206,17.4
,Alabama,1,2009,2009,830,4757938,17.4
,Alabama,1,2010,2010,782,4779736,16.4
,Alabama,1,2011,2011,785,4802740,16.3
,Alabama,1,2012,2012,831,4822023,17.2
,Alabama,1,2013,2013,860,4833722,17.8
,Alabama,1,2014,2014,815,4849377,16.8
,Alabama,1,2015,2015,958,4858979,19.7
,Alabama,1,2016,2016,1046,4863300,21.5
,Alabama,1,2017,2017,1124,4874747,23.1
,Alabama,1,2018,2018,1064,4887871,21.8
Total,Alabama,1,,,16704,93779449,17.8
,Alaska,2,1999,1999,88,624779,14.1
,Alaska,2,2000,2000,116,626932,18.5
,Alaska,2,2001,2001,95,633714,15
,Alaska,2,2002,2002,127,642337,19.8
,Alaska,2,2003,2003,120,648414,18.5
,Alaska,2,2004,2004,117,659286,17.7
,Alaska,2,2005,2005,116,666946,17.4
,Alaska,2,2006,2006,111,675302,16.4
,Alaska,2,2007,2007,120,680300,17.6
,Alaska,2,2008,2008,142,687455,20.7
,Alaska,2,2009,2009,104,698895,14.9
,Alaska,2,2010,2010,144,710231,20.3
,Alaska,2,2011,2011,126,722718,17.4
,Alaska,2,2012,2012,132,731449,18
,Alaska,2,2013,2013,144,735132,19.6
,Alaska,2,2014,2014,145,736732,19.7
,Alaska,2,2015,2015,177,738432,24
,Alaska,2,2016,2016,177,741894,23.9
,Alaska,2,2017,2017,180,739795,24.3
,Alaska,2,2018,2018,155,737438,21
Total,Alaska,2,,,2636,13838181,19
,Arizona,4,1999,1999,822,5023823,16.4
,Arizona,4,2000,2000,796,5130632,15.5
,Arizona,4,2001,2001,842,5273477,16
,Arizona,4,2002,2002,968,5396255,17.9
,Arizona,4,2003,2003,849,5510364,15.4
,Arizona,4,2004,2004,897,5652404,15.9
,Arizona,4,2005,2005,934,5839077,16
,Arizona,4,2006,2006,982,6029141,16.3
,Arizona,4,2007,2007,951,6167681,15.4
,Arizona,4,2008,2008,907,6280362,14.4
,Arizona,4,2009,2009,856,6343154,13.5
,Arizona,4,2010,2010,931,6392017,14.6
,Arizona,4,2011,2011,964,6482505,14.9
,Arizona,4,2012,2012,946,6553255,14.4
,Arizona,4,2013,2013,941,6626624,14.2
,Arizona,4,2014,2014,927,6731484,13.8
,Arizona,4,2015,2015,970,6828065,14.2
,Arizona,4,2016,2016,1094,6931071,15.8
,Arizona,4,2017,2017,1134,7016270,16.2
,Arizona,4,2018,2018,1147,7171646,16
Total,Arizona,4,,,18858,123379307,15.3
,Arkansas,5,1999,1999,388,2651860,14.6
,Arkansas,5,2000,2000,416,2673400,15.6
,Arkansas,5,2001,2001,412,2691571,15.3
,Arkansas,5,2002,2002,441,2705927,16.3
,Arkansas,5,2003,2003,413,2724816,15.2
,Arkansas,5,2004,2004,406,2749686,14.8
,Arkansas,5,2005,2005,439,2781097,15.8
,Arkansas,5,2006,2006,426,2821761,15.1
,Arkansas,5,2007,2007,426,2848650,15
,Arkansas,5,2008,2008,444,2874554,15.4
,Arkansas,5,2009,2009,465,2896843,16.1
,Arkansas,5,2010,2010,419,2915918,14.4
,Arkansas,5,2011,2011,462,2937979,15.7
,Arkansas,5,2012,2012,490,2949131,16.6
,Arkansas,5,2013,2013,501,2959373,16.9
,Arkansas,5,2014,2014,496,2966369,16.7
,Arkansas,5,2015,2015,520,2978204,17.5
,Arkansas,5,2016,2016,541,2988248,18.1
,Arkansas,5,2017,2017,613,3004279,20.4
,Arkansas,5,2018,2018,573,3013825,19
Total,Arkansas,5,,,9291,57133491,16.3
,California,6,1999,1999,3054,33499204,9.1
,California,6,2000,2000,3108,33871648,9.2
,California,6,2001,2001,3200,34479458,9.3
,California,6,2002,2002,3410,34871843,9.8
,California,6,2003,2003,3468,35253159,9.8
,California,6,2004,2004,3316,35574576,9.3
,California,6,2005,2005,3453,35827943,9.6
,California,6,2006,2006,3363,36021202,9.3
,California,6,2007,2007,3268,36250311,9
,California,6,2008,2008,3171,36604337,8.7
,California,6,2009,2009,3094,36961229,8.4
,California,6,2010,2010,2935,37253956,7.9
,California,6,2011,2011,3004,37691912,8
,California,6,2012,2012,3068,38041430,8.1
,California,6,2013,2013,3026,38332521,7.9
,California,6,2014,2014,2942,38802500,7.6
,California,6,2015,2015,3095,39144818,7.9
,California,6,2016,2016,3184,39250017,8.1
,California,6,2017,2017,3184,39536653,8.1
,California,6,2018,2018,3040,39557045,7.7
Total,California,6,,,63383,736825762,8.6
,Colorado,8,1999,1999,452,4226018,10.7
,Colorado,8,2000,2000,443,4301261,10.3
,Colorado,8,2001,2001,510,4425687,11.5
,Colorado,8,2002,2002,517,4490406,11.5
,Colorado,8,2003,2003,501,4528732,11.1
,Colorado,8,2004,2004,553,4575013,12.1
,Colorado,8,2005,2005,535,4631888,11.6
,Colorado,8,2006,2006,497,4720423,10.5
,Colorado,8,2007,2007,505,4803868,10.5
,Colorado,8,2008,2008,513,4889730,10.5
,Colorado,8,2009,2009,583,4972195,11.7
,Colorado,8,2010,2010,555,5029196,11
,Colorado,8,2011,2011,573,5116796,11.2
,Colorado,8,2012,2012,672,5187582,13
,Colorado,8,2013,2013,619,5268367,11.7
,Colorado,8,2014,2014,663,5355866,12.4
,Colorado,8,2015,2015,701,5456574,12.8
,Colorado,8,2016,2016,812,5540545,14.7
,Colorado,8,2017,2017,779,5607154,13.9
,Colorado,8,2018,2018,889,5695564,15.6
Total,Colorado,8,,,11872,98822865,12
,Connecticut,9,1999,1999,199,3386401,5.9
,Connecticut,9,2000,2000,179,3405565,5.3
,Connecticut,9,2001,2001,191,3432835,5.6
,Connecticut,9,2002,2002,147,3458749,4.3
,Connecticut,9,2003,2003,153,3484336,4.4
,Connecticut,9,2004,2004,173,3496094,4.9
,Connecticut,9,2005,2005,187,3506956,5.3
,Connecticut,9,2006,2006,173,3517460,4.9
,Connecticut,9,2007,2007,149,3527270,4.2
,Connecticut,9,2008,2008,200,3545579,5.6
,Connecticut,9,2009,2009,173,3561807,4.9
,Connecticut,9,2010,2010,209,3574097,5.8
,Connecticut,9,2011,2011,210,3580709,5.9
,Connecticut,9,2012,2012,227,3590347,6.3
,Connecticut,9,2013,2013,161,3596080,4.5
,Connecticut,9,2014,2014,187,3596677,5.2
,Connecticut,9,2015,2015,189,3590886,5.3
,Connecticut,9,2016,2016,172,3576452,4.8
,Connecticut,9,2017,2017,188,3588184,5.2
,Connecticut,9,2018,2018,186,3572665,5.2
Total,Connecticut,9,,,3653,70589149,5.2
,Delaware,10,1999,1999,68,774990,8.8
,Delaware,10,2000,2000,52,783600,6.6
,Delaware,10,2001,2001,76,795699,9.6
,Delaware,10,2002,2002,74,806169,9.2
,Delaware,10,2003,2003,65,818003,7.9
,Delaware,10,2004,2004,75,830803,9
,Delaware,10,2005,2005,75,845150,8.9
,Delaware,10,2006,2006,79,859268,9.2
,Delaware,10,2007,2007,79,871749,9.1
,Delaware,10,2008,2008,95,883874,10.7
,Delaware,10,2009,2009,76,891730,8.5
,Delaware,10,2010,2010,88,897934,9.8
,Delaware,10,2011,2011,77,907135,8.5
,Delaware,10,2012,2012,96,917092,10.5
,Delaware,10,2013,2013,100,925749,10.8
,Delaware,10,2014,2014,102,935614,10.9
,Delaware,10,2015,2015,112,945934,11.8
,Delaware,10,2016,2016,111,952065,11.7
,Delaware,10,2017,2017,111,961939,11.5
,Delaware,10,2018,2018,107,967171,11.1
Total,Delaware,10,,,1718,17571668,9.8
,District of Columbia,11,1999,1999,163,570213,28.6
,District of Columbia,11,2000,2000,149,572059,26
,District of Columbia,11,2001,2001,169,574504,29.4
,District of Columbia,11,2002,2002,195,573158,34
,District of Columbia,11,2003,2003,167,568502,29.4
,District of Columbia,11,2004,2004,143,567754,25.2
,District of Columbia,11,2005,2005,154,567136,27.2
,District of Columbia,11,2006,2006,134,570681,23.5
,District of Columbia,11,2007,2007,144,574404,25.1
,District of Columbia,11,2008,2008,137,580236,23.6
,District of Columbia,11,2009,2009,111,592228,18.7
,District of Columbia,11,2010,2010,99,601723,16.5
,District of Columbia,11,2011,2011,86,617996,13.9
,District of Columbia,11,2012,2012,68,632323,10.8
,District of Columbia,11,2013,2013,71,646449,11
,District of Columbia,11,2014,2014,86,658893,13.1
,District of Columbia,11,2015,2015,120,672228,17.9
,District of Columbia,11,2016,2016,107,681170,15.7
,District of Columbia,11,2017,2017,100,693972,14.4
,District of Columbia,11,2018,2018,125,702455,17.8
Total,District of Columbia,11,,,2528,12218084,20.7
,Florida,12,1999,1999,1721,15759421,10.9
,Florida,12,2000,2000,1692,15982378,10.6
,Florida,12,2001,2001,1816,16356966,11.1
,Florida,12,2002,2002,1886,16689370,11.3
,Florida,12,2003,2003,1940,17004085,11.4
,Florida,12,2004,2004,1890,17415318,10.9
,Florida,12,2005,2005,1838,17842038,10.3
,Florida,12,2006,2006,2083,18166990,11.5
,Florida,12,2007,2007,2272,18367842,12.4
,Florida,12,2008,2008,2334,18527305,12.6
,Florida,12,2009,2009,2324,18652644,12.5
,Florida,12,2010,2010,2268,18801310,12.1
,Florida,12,2011,2011,2378,19057542,12.5
,Florida,12,2012,2012,2473,19317568,12.8
,Florida,12,2013,2013,2442,19552860,12.5
,Florida,12,2014,2014,2410,19893297,12.1
,Florida,12,2015,2015,2559,20271272,12.6
,Florida,12,2016,2016,2704,20612439,13.1
,Florida,12,2017,2017,2724,20984400,13
,Florida,12,2018,2018,2902,21299325,13.6
Total,Florida,12,,,44656,370554370,12.1
,Georgia,13,1999,1999,1105,8045965,13.7
,Georgia,13,2000,2000,1096,8186453,13.4
,Georgia,13,2001,2001,1124,8377038,13.4
,Georgia,13,2002,2002,1133,8508256,13.3
,Georgia,13,2003,2003,1173,8622793,13.6
,Georgia,13,2004,2004,1062,8769252,12.1
,Georgia,13,2005,2005,1064,8925922,11.9
,Georgia,13,2006,2006,1144,9155813,12.5
,Georgia,13,2007,2007,1244,9349988,13.3
,Georgia,13,2008,2008,1177,9504843,12.4
,Georgia,13,2009,2009,1247,9620846,13
,Georgia,13,2010,2010,1223,9687653,12.6
,Georgia,13,2011,2011,1232,9815210,12.6
,Georgia,13,2012,2012,1286,9919945,13
,Georgia,13,2013,2013,1262,9992167,12.6
,Georgia,13,2014,2014,1391,10097343,13.8
,Georgia,13,2015,2015,1445,10214860,14.1
,Georgia,13,2016,2016,1571,10310371,15.2
,Georgia,13,2017,2017,1623,10429379,15.6
,Georgia,13,2018,2018,1680,10519475,16
Total,Georgia,13,,,25282,188053572,13.4
,Hawaii,15,1999,1999,42,1210300,3.5
,Hawaii,15,2000,2000,52,1211537,4.3
,Hawaii,15,2001,2001,47,1225948,3.8
,Hawaii,15,2002,2002,36,1239613,2.9
,Hawaii,15,2003,2003,37,1251154,3
,Hawaii,15,2004,2004,41,1273569,3.2
,Hawaii,15,2005,2005,28,1292729,2.2
,Hawaii,15,2006,2006,33,1309731,2.5
,Hawaii,15,2007,2007,36,1315675,2.7
,Hawaii,15,2008,2008,41,1332213,3.1
,Hawaii,15,2009,2009,47,1346717,3.5
,Hawaii,15,2010,2010,45,1360301,3.3
,Hawaii,15,2011,2011,49,1374810,3.6
,Hawaii,15,2012,2012,51,1392313,3.7
,Hawaii,15,2013,2013,38,1404054,2.7
,Hawaii,15,2014,2014,40,1419561,2.8
