month,state,totals,year
4/1/2020,Alabama,70748,2020
4/1/2020,Alaska,8560,2020
4/1/2020,Arizona,59986,2020
4/1/2020,Arkansas,30575,2020
4/1/2020,California,122999,2020
4/1/2020,Colorado,52249,2020
4/1/2020,Connecticut,12986,2020
4/1/2020,Delaware,5701,2020
4/1/2020,District of Columbia,552,2020
4/1/2020,Florida,128670,2020
4/1/2020,Georgia,52299,2020
4/1/2020,Guam,222,2020
4/1/2020,Hawaii,1818,2020
4/1/2020,Idaho,21747,2020
4/1/2020,Illinois,632564,2020
4/1/2020,Indiana,88276,2020
4/1/2020,Iowa,26108,2020
4/1/2020,Kansas,18994,2020
4/1/2020,Kentucky,205536,2020
4/1/2020,Louisiana,31559,2020
4/1/2020,Maine,11589,2020
4/1/2020,Mariana Islands,9,2020
4/1/2020,Maryland,20963,2020
4/1/2020,Massachusetts,7934,2020
4/1/2020,Michigan,53914,2020
4/1/2020,Minnesota,75099,2020
4/1/2020,Mississippi,29581,2020
4/1/2020,Missouri,58011,2020
4/1/2020,Montana,14690,2020
4/1/2020,Nebraska,7517,2020
4/1/2020,Nevada,18621,2020
4/1/2020,New Hampshire,14935,2020
4/1/2020,New Jersey,9072,2020
4/1/2020,New Mexico,13216,2020
4/1/2020,New York,27035,2020
4/1/2020,North Carolina,67465,2020
4/1/2020,North Dakota,6803,2020
4/1/2020,Ohio,68812,2020
4/1/2020,Oklahoma,42054,2020
4/1/2020,Oregon,44816,2020
4/1/2020,Pennsylvania,76134,2020
4/1/2020,Puerto Rico,97,2020
4/1/2020,Rhode Island,3988,2020
4/1/2020,South Carolina,39327,2020
4/1/2020,South Dakota,8487,2020
4/1/2020,Tennessee,77829,2020
4/1/2020,Texas,197343,2020
4/1/2020,Utah,96612,2020
4/1/2020,Vermont,5618,2020
4/1/2020,Virgin Islands,49,2020
4/1/2020,Virginia,64835,2020
4/1/2020,Washington,57202,2020
4/1/2020,West Virginia,22429,2020
4/1/2020,Wisconsin,55375,2020
4/1/2020,Wyoming,8566,2020
3/1/2020,Alabama,92652,2020
3/1/2020,Alaska,9939,2020
3/1/2020,Arizona,82771,2020
3/1/2020,Arkansas,31651,2020
3/1/2020,California,164497,2020
3/1/2020,Colorado,77305,2020
3/1/2020,Connecticut,23103,2020
3/1/2020,Delaware,8123,2020
3/1/2020,District of Columbia,692,2020
3/1/2020,Florida,192234,2020
3/1/2020,Georgia,84601,2020
3/1/2020,Guam,271,2020
3/1/2020,Hawaii,1843,2020
3/1/2020,Idaho,30989,2020
3/1/2020,Illinois,645109,2020
3/1/2020,Indiana,129016,2020
3/1/2020,Iowa,24652,2020
3/1/2020,Kansas,29816,2020
3/1/2020,Kentucky,235305,2020
3/1/2020,Louisiana,42015,2020
3/1/2020,Maine,14627,2020
3/1/2020,Mariana Islands,5,2020
3/1/2020,Maryland,29414,2020
3/1/2020,Massachusetts,23579,2020
3/1/2020,Michigan,107492,2020
3/1/2020,Minnesota,96654,2020
3/1/2020,Mississippi,33583,2020
3/1/2020,Missouri,76262,2020
3/1/2020,Montana,16885,2020
3/1/2020,Nebraska,11154,2020
3/1/2020,Nevada,22236,2020
3/1/2020,New Hampshire,22466,2020
3/1/2020,New Jersey,10922,2020
3/1/2020,New Mexico,24571,2020
3/1/2020,New York,59787,2020
3/1/2020,North Carolina,83077,2020
3/1/2020,North Dakota,9136,2020
3/1/2020,Ohio,114086,2020
3/1/2020,Oklahoma,50194,2020
3/1/2020,Oregon,59115,2020
3/1/2020,Pennsylvania,125013,2020
3/1/2020,Puerto Rico,862,2020
3/1/2020,Rhode Island,6169,2020
3/1/2020,South Carolina,50953,2020
3/1/2020,South Dakota,11332,2020
3/1/2020,Tennessee,88458,2020
3/1/2020,Texas,274211,2020
3/1/2020,Utah,101382,2020
3/1/2020,Vermont,7023,2020
3/1/2020,Virgin Islands,122,2020
3/1/2020,Virginia,83675,2020
3/1/2020,Washington,75529,2020
3/1/2020,West Virginia,26346,2020
3/1/2020,Wisconsin,77811,2020
3/1/2020,Wyoming,8847,2020
2/1/2020,Alabama,75336,2020
2/1/2020,Alaska,5466,2020
2/1/2020,Arizona,37100,2020
2/1/2020,Arkansas,21445,2020
2/1/2020,California,95430,2020
2/1/2020,Colorado,40549,2020
2/1/2020,Connecticut,16851,2020
2/1/2020,Delaware,4321,2020
2/1/2020,District of Columbia,551,2020
2/1/2020,Florida,116238,2020
2/1/2020,Georgia,54250,2020
2/1/2020,Guam,245,2020
2/1/2020,Hawaii,1264,2020
2/1/2020,Idaho,18476,2020
2/1/2020,Illinois,620067,2020
2/1/2020,Indiana,85107,2020
2/1/2020,Iowa,20889,2020
2/1/2020,Kansas,17535,2020
2/1/2020,Kentucky,398247,2020
2/1/2020,Louisiana,24696,2020
2/1/2020,Maine,7966,2020
2/1/2020,Mariana Islands,15,2020
2/1/2020,Maryland,15005,2020
2/1/2020,Massachusetts,18525,2020
2/1/2020,Michigan,47557,2020
2/1/2020,Minnesota,61603,2020
2/1/2020,Mississippi,24788,2020
2/1/2020,Missouri,48705,2020
2/1/2020,Montana,10448,2020
2/1/2020,Nebraska,6616,2020
2/1/2020,Nevada,13069,2020
2/1/2020,New Hampshire,10549,2020
2/1/2020,New Jersey,8548,2020
2/1/2020,New Mexico,15076,2020
2/1/2020,New York,31863,2020
2/1/2020,North Carolina,52252,2020
2/1/2020,North Dakota,5498,2020
2/1/2020,Ohio,63156,2020
2/1/2020,Oklahoma,34408,2020
2/1/2020,Oregon,33430,2020
2/1/2020,Pennsylvania,93240,2020
2/1/2020,Puerto Rico,1819,2020
2/1/2020,Rhode Island,2597,2020
2/1/2020,South Carolina,36085,2020
2/1/2020,South Dakota,7962,2020
2/1/2020,Tennessee,57867,2020
2/1/2020,Texas,142928,2020
2/1/2020,Utah,83113,2020
2/1/2020,Vermont,3642,2020
2/1/2020,Virgin Islands,71,2020
2/1/2020,Virginia,67257,2020
2/1/2020,Washington,48418,2020
2/1/2020,West Virginia,20942,2020
2/1/2020,Wisconsin,41799,2020
2/1/2020,Wyoming,5500,2020
1/1/2020,Alabama,79332,2020
1/1/2020,Alaska,4706,2020
1/1/2020,Arizona,33224,2020
1/1/2020,Arkansas,19126,2020
1/1/2020,California,96567,2020
1/1/2020,Colorado,42133,2020
1/1/2020,Connecticut,15695,2020
1/1/2020,Delaware,4482,2020
1/1/2020,District of Columbia,666,2020
1/1/2020,Florida,110019,2020
1/1/2020,Georgia,52557,2020
1/1/2020,Guam,229,2020
1/1/2020,Hawaii,1182,2020
1/1/2020,Idaho,16541,2020
1/1/2020,Illinois,612411,2020
1/1/2020,Indiana,80283,2020
1/1/2020,Iowa,22600,2020
1/1/2020,Kansas,15578,2020
1/1/2020,Kentucky,367301,2020
1/1/2020,Louisiana,23686,2020
1/1/2020,Maine,7400,2020
1/1/2020,Mariana Islands,26,2020
1/1/2020,Maryland,13961,2020
1/1/2020,Massachusetts,18235,2020
1/1/2020,Michigan,47110,2020
1/1/2020,Minnesota,56561,2020
1/1/2020,Mississippi,20420,2020
1/1/2020,Missouri,43596,2020
1/1/2020,Montana,9499,2020
1/1/2020,Nebraska,7021,2020
1/1/2020,Nevada,11074,2020
1/1/2020,New Hampshire,10856,2020
1/1/2020,New Jersey,8313,2020
1/1/2020,New Mexico,13095,2020
1/1/2020,New York,32390,2020
1/1/2020,North Carolina,53819,2020
1/1/2020,North Dakota,4866,2020
1/1/2020,Ohio,55784,2020
1/1/2020,Oklahoma,31908,2020
1/1/2020,Oregon,31752,2020
1/1/2020,Pennsylvania,88224,2020
1/1/2020,Puerto Rico,1911,2020
1/1/2020,Rhode Island,2701,2020
