SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,PPOPCHG_2019,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_POPEST2019,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_NPCHG2019,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018,NRANK_PPCHG2019
010,0,0,00,United States,308758105,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,1552022,0.1825250871,0.7226160485,0.729920021,0.6891368504,0.7301705352,0.7333168734,0.7192436345,0.6330029421,0.5237039178,0.4750784757,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318443,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,55982803,61691,224089,170993,126590,104205,28673,7646,16910,-12620,-63817,0.1115197693,0.4046378797,0.3075180099,0.2269646074,0.1864072155,0.0511962903,0.0136451202,0.0301736205,-0.0225119,-0.113864137,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4
020,2,0,00,Midwest Region,66929725,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,68329004,44691,183384,178943,223636,184788,115416,126957,139241,109847,92376,0.066773022,0.273812018,0.2664515514,0.3321158554,0.2735153395,0.1703678729,0.1870850417,0.2048037037,0.1612390875,0.1353759743,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3
020,3,0,00,South Region,114563030,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,125580448,303650,1139842,1234686,1123192,1259637,1373304,1354419,1190429,1027244,1011015,0.2650506014,0.9923173543,1.064324642,0.9580181057,1.0642025812,1.1480167652,1.119379144,0.9729561716,0.831492471,0.8116076116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020,4,0,00,West Region,71946907,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,78347268,153529,687893,689494,689307,758663,816762,817126,697648,577491,512448,0.2133920781,0.9540760613,0.9472590036,0.9381157087,1.0229100142,1.0900945686,1.078820222,0.911247266,0.7474902478,0.6583788592,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040,3,6,01,Alabama,4780125,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504,0.1111268011,0.2848642663,0.3442125962,0.300960132,0.2426046271,0.2178529096,0.2303627502,0.2253715155,0.2706952077,0.3172056441,23,23,23,23,23,23,24,24,24,24,24,28,32,25,31,32,30,29,28,23,20,37,38,34,33,35,36,34,33,28,26
040,4,9,02,Alaska,710249,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,-3594,0.5154530313,1.151125492,1.1514579133,0.9069838441,-0.106503063,0.1650180705,0.5366794215,-0.236831316,-0.616601325,-0.488887136,47,47,47,47,47,48,48,48,48,48,48,32,39,40,42,47,42,37,43,46,43,2,7,11,18,48,37,22,48,50,50
040,4,8,04,Arizona,6392288,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,14884,65471,82335,77786,97649,99263,111396,102936,114016,120693,0.2328430759,1.0218392764,1.272046056,1.1866706494,1.4722218369,1.4748426285,1.6310583401,1.4829985916,1.6186239425,1.6861217565,16,16,16,15,15,15,14,14,14,14,14,11,10,7,5,4,7,7,7,3,3,17,10,8,7,7,9,7,6,4,3
040,3,7,05,Arkansas,2916031,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,5933,18703,11497,7236,7992,10656,11870,11427,8388,8071,0.2034614858,0.6400831769,0.3909657231,0.2451083341,0.2700547408,0.3591032125,0.398583233,0.3821843944,0.2794747022,0.2681633221,32,32,32,32,32,32,33,32,32,33,33,26,25,35,41,36,29,27,27,30,28,22,28,31,38,31,30,26,24,27,27
040,4,9,06,California,37254519,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,64983,318867,310431,311987,336185,321073,249072,191380,103091,50635,0.1744298457,0.8544245848,0.8247727206,0.8221261278,0.878667237,0.8318605926,0.6399910376,0.4886241691,0.261928193,0.1283146537,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,5,12,27,18,20,21,16,17,20,22,29,36
040,4,8,08,Colorado,5029319,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,18030,73759,71539,76388,81066,100522,88592,72670,79402,67449,0.3584978404,1.4613413893,1.3969437864,1.4710801639,1.5385359938,1.8788804174,1.6253554869,1.3119187466,1.4148900058,1.185127371,22,22,22,22,22,22,22,21,21,21,21,10,9,9,6,8,6,8,8,8,7,6,4,5,5,4,3,8,9,5,8
040,1,1,09,Connecticut,3574147,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,4967,9169,6264,294,-317,-7402,-8981,-4844,-1777,-6233,0.1389702214,0.2561807196,0.1745681709,0.0081790557,-0.008818193,-0.205924345,-0.250367844,-0.135377561,-0.049729983,-0.174519532,29,29,29,29,29,29,29,29,29,29,29,30,38,44,48,46,49,48,46,44,47,30,43,42,50,46,50,49,44,43,45
