year,state,totals,pop_est
1998,Alabama,36568,
1998,Alaska,3985,
1998,Arizona,17453,
1998,Arkansas,21752,
1998,California,67445,
1998,Colorado,23798,
1998,Connecticut,6870,
1998,Delaware,2135,
1998,District of Columbia,0,
1998,Florida,32341,
1998,Georgia,3819,
1998,Guam,9,
1998,Hawaii,431,
1998,Idaho,7339,
1998,Illinois,41477,
1998,Indiana,22518,
1998,Iowa,14650,
1998,Kansas,12386,
1998,Kentucky,31869,
1998,Louisiana,27642,
1998,Maine,4106,
1998,Mariana Islands,0,
1998,Maryland,9007,
1998,Massachusetts,1443,
1998,Michigan,30596,
1998,Minnesota,12116,
1998,Mississippi,26097,
1998,Missouri,24087,
1998,Montana,6406,
1998,Nebraska,6655,
1998,Nevada,6439,
1998,New Hampshire,2442,
1998,New Jersey,3795,
1998,New Mexico,9033,
1998,New York,14736,
1998,North Carolina,38943,
1998,North Dakota,2437,
1998,Ohio,32481,
1998,Oklahoma,20075,
1998,Oregon,14024,
1998,Pennsylvania,48317,
1998,Puerto Rico,513,
1998,Rhode Island,1059,
1998,South Carolina,9565,
1998,South Dakota,2751,
1998,Tennessee,24773,
1998,Texas,82399,
1998,Utah,10682,
1998,Vermont,2116,
1998,Virgin Islands,0,
1998,Virginia,25194,
1998,Washington,12002,
1998,West Virginia,14194,
1998,Wisconsin,15442,
1998,Wyoming,3486,
1999,Alabama,246756,
1999,Alaska,43073,
1999,Arizona,173548,
1999,Arkansas,184616,
1999,California,883144,
1999,Colorado,257308,
1999,Connecticut,87209,
1999,Delaware,17594,
1999,District of Columbia,21,
1999,Florida,279700,
1999,Georgia,409810,
1999,Guam,170,
1999,Hawaii,5343,
1999,Idaho,79914,
1999,Illinois,484848,
1999,Indiana,203182,
1999,Iowa,92222,
1999,Kansas,106108,
1999,Kentucky,248212,
1999,Louisiana,196015,
1999,Maine,47160,
1999,Mariana Islands,51,
1999,Maryland,91381,
1999,Massachusetts,24314,
1999,Michigan,307769,
1999,Minnesota,177929,
1999,Mississippi,182114,
1999,Missouri,206636,
1999,Montana,73027,
1999,Nebraska,47959,
1999,Nevada,62375,
1999,New Hampshire,37711,
1999,New Jersey,38601,
1999,New Mexico,94406,
1999,New York,186627,
1999,North Carolina,309707,
1999,North Dakota,29864,
1999,Ohio,297597,
1999,Oklahoma,169436,
1999,Oregon,160358,
1999,Pennsylvania,541555,
1999,Puerto Rico,5190,
1999,Rhode Island,10677,
1999,South Carolina,145493,
1999,South Dakota,31327,
1999,Tennessee,264214,
1999,Texas,710025,
1999,Utah,77718,
1999,Vermont,22218,
1999,Virgin Islands,0,
1999,Virginia,208554,
1999,Washington,133674,
1999,West Virginia,134471,
1999,Wisconsin,179340,
1999,Wyoming,35476,
2000,Alabama,221911,
2000,Alaska,39959,
2000,Arizona,148263,
2000,Arkansas,169628,
2000,California,794506,
2000,Colorado,307512,
2000,Connecticut,87586,
2000,Delaware,15347,
2000,District of Columbia,17,
2000,Florida,266035,
2000,Georgia,352357,
2000,Guam,279,
2000,Hawaii,6609,
2000,Idaho,77138,
2000,Illinois,449771,
2000,Indiana,182319,
2000,Iowa,87796,
2000,Kansas,96716,
2000,Kentucky,229896,
2000,Louisiana,174706,
2000,Maine,45028,
2000,Mariana Islands,13,
2000,Maryland,84309,
2000,Massachusetts,54843,
2000,Michigan,300661,
2000,Minnesota,185100,
2000,Mississippi,163980,
2000,Missouri,191578,
2000,Montana,71115,
2000,Nebraska,44825,
2000,Nevada,49807,
2000,New Hampshire,40120,
2000,New Jersey,37106,
2000,New Mexico,84034,
2000,New York,163974,
2000,North Carolina,290884,
