"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"1",0,25.1,0.572,28.4,8,7.2,30,0.75609756097561,82,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
"2",1,19.9,0.528,24.3,5.1,5.8,24,0.75609756097561,82,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16
"3",2,25.5,0.616,26.3,5.3,5.4,33,0.658536585365854,80,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23
"4",3,25.1,0.585,27.6,3.7,4.7,25,0.48780487804878,80,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202
"5",4,22.9,0.555,32.3,1.6,2.5,28,0.634146341463415,82,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
"6",5,22,0.583,23.3,5.9,5.1,24,0.731707317073171,76,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211
"7",6,25.2,0.579,27.1,5,4,27,0.75609756097561,82,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228
"8",7,17,0.516,24.6,2,2.6,26,0.695121951219512,79,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
"9",8,14.3,0.582,17.5,-1.3,0.5,32,0.75609756097561,80,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118
"10",9,18,0.556,24.5,0.8,2.2,27,0.658536585365854,81,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135
"11",10,25.7,0.582,24.3,9.2,3.9,21,0.658536585365854,37,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225
"12",11,24.3,0.622,28.4,4.6,5.7,24,0.341463414634146,80,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,13.6,0.191
