metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source
35620,"New York-Newark-Jersey City, NY-NJ-PA",-74.08437,40.92033,6,100,46.34439,24.64721,15.80719,11.43804,0.17574,1.58744,New York,NY,New York County,10004,US,TIGER/Lineå¨ dataset from the US Census Bureau
31080,"Los Angeles-Long Beach-Anaheim, CA",-118.14932,34.22097,6,100,29.47629,45.1683,6.4486,16.46581,0.18977,2.25123,Los Angeles,TX,La Salle County,78014,US,TIGER/Lineå¨ dataset from the US Census Bureau
16980,"Chicago-Naperville-Elgin, IL-IN-WI",-87.96261,41.70249,6,100,52.59152,22.41137,16.3276,7.00777,0.12723,1.53452,Chicago,IL,Cook County,60601,US,TIGER/Lineå¨ dataset from the US Census Bureau
19100,"Dallas-Fort Worth-Arlington, TX",-97.02543,32.81841,6,100,45.75036,29.04334,15.78827,7.26314,0.36657,1.78832,Dallas,TX,Dallas County,75201,US,TIGER/Lineå¨ dataset from the US Census Bureau
26420,"Houston-The Woodlands-Sugar Land, TX",-95.3995,29.78605,6,100,35.64306,37.63239,17.03209,8.00725,0.22344,1.46176,Houston,TX,Harris County,77001,US,TIGER/Lineå¨ dataset from the US Census Bureau
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.47405,38.83342,6,100,45.07073,16.12978,25.07391,10.6685,0.2116,2.84548,Washington,DC,,,US,US Census Bureau
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.50479,26.15622,6,100,29.97581,45.83857,20.32081,2.58028,0.13672,1.14781,Miami,FL,Miami-Dade County,33231,US,TIGER/Lineå¨ dataset from the US Census Bureau
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-75.30339,39.9047,6,100,61.42822,9.70871,20.54679,6.22601,0.16064,1.92962,Philadelphia,PA,Philadelphia County,19019,US,TIGER/Lineå¨ dataset from the US Census Bureau
12060,"Atlanta-Sandy Springs-Roswell, GA",-84.39952,33.69269,6,100,46.64287,10.87732,34.12094,6.22116,0.18829,1.94943,Atlanta,GA,Fulton County,30301,US,TIGER/Lineå¨ dataset from the US Census Bureau
14460,"Boston-Cambridge-Newton, MA-NH",-71.1002,42.55728,3,100,70.14175,11.54695,7.88868,8.46736,0.14813,1.80712,Boston,MA,Suffolk County,2101,US,TIGER/Lineå¨ dataset from the US Census Bureau
