id,Name,Metro-Label,City,State,Median_Income
310M400US31060,"Los Alamos, NM Micro Area",Los Alamos,Los Alamos,NM,139944
310M400US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington-Arlington-Alexandria,Washington,DC,108625
310M400US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose-Sunnyvale-Santa Clara,San Jose,CA,108333
310M400US20780,"Edwards, CO Micro Area",Edwards,Edwards,CO,105173
310M400US27940,"Juneau, AK Micro Area",Juneau,Juneau,AK,105026
310M400US41860,"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco-Oakland-Hayward,San Francisco,CA,104194
310M400US44920,"Summit Park, UT Micro Area",Summit Park,Summit Park,UT,103235
310M400US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bridgeport-Stamford-Norwalk,Bridgeport,CT,101381
310M400US14720,"Breckenridge, CO Micro Area",Breckenridge,Breckenridge,CO,97958
310M400US27220,"Jackson, WY-ID Micro Area",Jackson,Jackson,WY,97074
310M400US48780,"Williston, ND Micro Area",Williston,Williston,ND,96331
310M400US14500,"Boulder, CO Metro Area",Boulder,Boulder,CO,95149
310M400US34900,"Napa, CA Metro Area",Napa,Napa,CA,94765
310M400US25720,"Heber, UT Micro Area",Heber,Heber,UT,91112
310M400US47240,"Vineyard Haven, MA Micro Area",Vineyard Haven,Vineyard Haven,MA,89375
310M400US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",Boston-Cambridge-Newton,Boston,MA,89184
310M400US19860,"Dickinson, ND Micro Area",Dickinson,Dickinson,ND,88944
310M400US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle-Tacoma-Bellevue,Seattle,WA,88843
310M400US45940,"Trenton, NJ Metro Area",Trenton,Trenton,NJ,88764
310M400US42220,"Santa Rosa, CA Metro Area",Santa Rosa,Santa Rosa,CA,87899
310M400US42100,"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz-Watsonville,Santa Cruz,CA,87873
310M400US33260,"Midland, TX Metro Area",Midland,Midland,TX,87748
310M400US11260,"Anchorage, AK Metro Area",Anchorage,Anchorage,AK,87661
310M400US37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard-Thousand Oaks-Ventura,Oxnard,CA,86445
310M400US15680,"California-Lexington Park, MD Metro Area",California-Lexington Park,California,MD,86389
310M400US20420,"Durango, CO Micro Area",Durango,Durango,CO,85213
310M400US45860,"Torrington, CT Micro Area",Torrington,Torrington,CT,84930
310M400US12580,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore-Columbia-Towson,Baltimore,MD,84710
310M400US23940,"Gillette, WY Micro Area",Gillette,Gillette,WY,84641
310M400US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford-West Hartford-East Hartford,Hartford,CT,84411
310M400US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis-St. Paul-Bloomington,Minneapolis,MN,84210
310M400US19740,"Denver-Aurora-Lakewood, CO Metro Area",Denver-Aurora-Lakewood,Denver,CO,84176
310M400US34940,"Naples-Immokalee-Marco Island, FL Metro Area",Naples-Immokalee-Marco Island,Naples,FL,83138
310M400US21220,"Elko, NV Micro Area",Elko,Elko,NV,83135
310M400US44460,"Steamboat Springs, CO Micro Area",Steamboat Springs,Steamboat Springs,CO,83004
310M400US11460,"Ann Arbor, MI Metro Area",Ann Arbor,Ann Arbor,MI,82884
310M400US46820,"Vermillion, SD Micro Area",Vermillion,Vermillion,SD,82819
310M400US24060,"Glenwood Springs, CO Micro Area",Glenwood Springs,Glenwood Springs,CO,82715
310M400US12420,"Austin-Round Rock, TX Metro Area",Austin-Round Rock,Austin,TX,82689
310M400US42200,"Santa Maria-Santa Barbara, CA Metro Area",Santa Maria-Santa Barbara,Santa Maria,CA,82500
310M400US26980,"Iowa City, IA Metro Area",Iowa City,Iowa City,IA,82489
310M400US42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo,CA,82189
310M400US12700,"Barnstable Town, MA Metro Area",Barnstable Town,Barnstable Town,MA,81896
310M400US21820,"Fairbanks, AK Metro Area",Fairbanks,Fairbanks,AK,81747
310M400US38180,"Pierre, SD Micro Area",Pierre,Pierre,SD,81580
310M400US31700,"Manchester-Nashua, NH Metro Area",Manchester-Nashua,Manchester,NH,81402
310M400US46520,"Urban Honolulu, HI Metro Area",Urban Honolulu,Urban Honolulu,HI,80998
310M400US28580,"Key West, FL Micro Area",Key West,Key West,FL,80995
310M400US35980,"Norwich-New London, CT Metro Area",Norwich-New London,Norwich,CT,80954
310M400US31540,"Madison, WI Metro Area",Madison,Madison,WI,80472
310M400US13900,"Bismarck, ND Metro Area",Bismarck,Bismarck,ND,79870
310M400US40540,"Rock Springs, WY Micro Area",Rock Springs,Rock Springs,WY,79852
310M400US41740,"San Diego-Carlsbad, CA Metro Area",San Diego-Carlsbad,San Diego,CA,79436
310M400US15540,"Burlington-South Burlington, VT Metro Area",Burlington-South Burlington,Burlington,VT,79065
310M400US16820,"Charlottesville, VA Metro Area",Charlottesville,Charlottesville,VA,78895
310M400US20660,"Easton, MD Micro Area",Easton,Easton,MD,78657
310M400US28540,"Ketchikan, AK Micro Area",Ketchikan,Ketchikan,AK,78594
310M400US28180,"Kapaa, HI Micro Area",Kapaa,Kapaa,HI,78409
310M400US14010,"Bloomington, IL Metro Area",Bloomington,Bloomington,IL,78272
310M400US46700,"Vallejo-Fairfield, CA Metro Area",Vallejo-Fairfield,Vallejo,CA,77887
310M400US36500,"Olympia-Tumwater, WA Metro Area",Olympia-Tumwater,Olympia,WA,77825
310M400US40340,"Rochester, MN Metro Area",Rochester,Rochester,MN,77757
310M400US41500,"Salinas, CA Metro Area",Salinas,Salinas,CA,77731
310M400US10580,"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady-Troy,Albany,NY,77340
310M400US35300,"New Haven-Milford, CT Metro Area",New Haven-Milford,New Haven,CT,77193
310M400US35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York-Newark-Jersey City,New York,NY,77003
310M400US18180,"Concord, NH Micro Area",Concord,Concord,NH,76893
310M400US22660,"Fort Collins, CO Metro Area",Fort Collins,Fort Collins,CO,76688
310M400US14740,"Bremerton-Silverdale, WA Metro Area",Bremerton-Silverdale,Bremerton,WA,76500
310M400US38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland-Vancouver-Hillsboro,Portland,OR,76453
310M400US40060,"Richmond, VA Metro Area",Richmond,Richmond,VA,76436
310M400US11180,"Ames, IA Metro Area",Ames,Ames,IA,76427
310M400US39580,"Raleigh, NC Metro Area",Raleigh,Raleigh,NC,76423
310M400US40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",Sacramento--Roseville--Arden-Arcade,Sacramento,CA,76325
310M400US33500,"Minot, ND Micro Area",Minot,Minot,ND,76255
310M400US42140,"Santa Fe, NM Metro Area",Santa Fe,Santa Fe,NM,76027
310M400US11380,"Andrews, TX Micro Area",Andrews,Andrews,TX,76014
310M400US22060,"Faribault-Northfield, MN Micro Area",Faribault-Northfield,Faribault,MN,75908
310M400US20500,"Durham-Chapel Hill, NC Metro Area",Durham-Chapel Hill,Durham,NC,75727
310M400US18700,"Corvallis, OR Metro Area",Corvallis,Corvallis,OR,75531
310M400US22020,"Fargo, ND-MN Metro Area",Fargo,Fargo,ND,75520
310M400US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia-Camden-Wilmington,Philadelphia,PA,75330
310M400US19780,"Des Moines-West Des Moines, IA Metro Area",Des Moines-West Des Moines,Des Moines,IA,75304
310M400US12740,"Barre, VT Micro Area",Barre,Barre,VT,74981
310M400US47420,"Wahpeton, ND-MN Micro Area",Wahpeton,Wahpeton,ND,74932
310M400US27980,"Kahului-Wailuku-Lahaina, HI Metro Area",Kahului-Wailuku-Lahaina,Kahului,HI,74793
310M400US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago-Naperville-Elgin,Chicago,IL,74605
310M400US27060,"Ithaca, NY Metro Area",Ithaca,Ithaca,NY,74544
310M400US36020,"Oak Harbor, WA Micro Area",Oak Harbor,Oak Harbor,WA,74126
310M400US38860,"Portland-South Portland, ME Metro Area",Portland-South Portland,Portland,ME,74016
310M400US24540,"Greeley, CO Metro Area",Greeley,Greeley,CO,73795
310M400US14580,"Bozeman, MT Micro Area",Bozeman,Bozeman,MT,73733
310M400US44100,"Springfield, IL Metro Area",Springfield,Springfield,IL,73656
310M400US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas-Fort Worth-Arlington,Dallas,TX,73537
310M400US29060,"Laconia, NH Micro Area",Laconia,Laconia,NH,73453
310M400US17860,"Columbia, MO Metro Area",Columbia,Columbia,MO,73321
310M400US16300,"Cedar Rapids, IA Metro Area",Cedar Rapids,Cedar Rapids,IA,73224
310M400US36540,"Omaha-Council Bluffs, NE-IA Metro Area",Omaha-Council Bluffs,Omaha,NE,73201
310M400US28420,"Kennewick-Richland, WA Metro Area",Kennewick-Richland,Kennewick,WA,73090
310M400US25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",Hilton Head Island-Bluffton-Beaufort,Hilton Head Island,SC,72994
310M400US28740,"Kingston, NY Metro Area",Kingston,Kingston,NY,72902
310M400US17820,"Colorado Springs, CO Metro Area",Colorado Springs,Colorado Springs,CO,72846
310M400US36940,"Owatonna, MN Micro Area",Owatonna,Owatonna,MN,72795
310M400US14340,"Boone, IA Micro Area",Boone,Boone,IA,72765
310M400US49340,"Worcester, MA-CT Metro Area",Worcester,Worcester,MA,72729
310M400US18100,"Columbus, NE Micro Area",Columbus,Columbus,NE,72724
310M400US26620,"Huntsville, AL Metro Area",Huntsville,Huntsville,AL,72698
310M400US16940,"Cheyenne, WY Metro Area",Cheyenne,Cheyenne,WY,72662
310M400US46020,"Truckee-Grass Valley, CA Micro Area",Truckee-Grass Valley,Truckee,CA,72381
310M400US26460,"Hudson, NY Micro Area",Hudson,Hudson,NY,72347
310M400US49080,"Winnemucca, NV Micro Area",Winnemucca,Winnemucca,NV,72201
310M400US25200,"Hailey, ID Micro Area",Hailey,Hailey,ID,72115
310M400US41620,"Salt Lake City, UT Metro Area",Salt Lake City,Salt Lake City,UT,71932
310M400US36140,"Ocean City, NJ Metro Area",Ocean City,Ocean City,NJ,71890
310M400US16580,"Champaign-Urbana, IL Metro Area",Champaign-Urbana,Champaign,IL,71769
310M400US30700,"Lincoln, NE Metro Area",Lincoln,Lincoln,NE,71717
310M400US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Virginia Beach-Norfolk-Newport News,Virginia Beach,VA,71665
310M400US30660,"Lincoln, IL Micro Area",Lincoln,Lincoln,IL,71661
310M400US28260,"Kearney, NE Micro Area",Kearney,Kearney,NE,71503
310M400US15100,"Brookings, SD Micro Area",Brookings,Brookings,SD,71378
310M400US28140,"Kansas City, MO-KS Metro Area",Kansas City,Kansas City,MO,71299
310M400US29940,"Lawrence, KS Metro Area",Lawrence,Lawrence,KS,71105
310M400US18780,"Craig, CO Micro Area",Craig,Craig,CO,71082
310M400US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles-Long Beach-Anaheim,Los Angeles,CA,71074
310M400US44300,"State College, PA Metro Area",State College,State College,PA,71003
310M400US25420,"Harrisburg-Carlisle, PA Metro Area",Harrisburg-Carlisle,Harrisburg,PA,70981
310M400US43620,"Sioux Falls, SD Metro Area",Sioux Falls,Sioux Falls,SD,70890
310M400US39860,"Red Wing, MN Micro Area",Red Wing,Red Wing,MN,70515
310M400US39900,"Reno, NV Metro Area",Reno,Reno,NV,70498
310M400US23820,"Gardnerville Ranchos, NV Micro Area",Gardnerville Ranchos,Gardnerville Ranchos,NV,70441
310M400US22380,"Flagstaff, AZ Metro Area",Flagstaff,Flagstaff,AZ,70379
310M400US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston-The Woodlands-Sugar Land,Houston,TX,70362
310M400US25740,"Helena, MT Micro Area",Helena,Helena,MT,70313
310M400US29660,"Laramie, WY Micro Area",Laramie,Laramie,WY,70150
310M400US44740,"Storm Lake, IA Micro Area",Storm Lake,Storm Lake,IA,70139
310M400US10100,"Aberdeen, SD Micro Area",Aberdeen,Aberdeen,SD,70089
310M400US23240,"Fredericksburg, TX Micro Area",Fredericksburg,Fredericksburg,TX,70000
310M400US39300,"Providence-Warwick, RI-MA Metro Area",Providence-Warwick,Providence,RI,69947
310M400US18140,"Columbus, OH Metro Area",Columbus,Columbus,OH,69797
310M400US34580,"Mount Vernon-Anacortes, WA Metro Area",Mount Vernon-Anacortes,Mount Vernon,WA,69718
310M400US16700,"Charleston-North Charleston, SC Metro Area",Charleston-North Charleston,Charleston,SC,69677
310M400US38240,"Pinehurst-Southern Pines, NC Micro Area",Pinehurst-Southern Pines,Pinehurst,NC,69644
310M400US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta-Sandy Springs-Roswell,Atlanta,GA,69612
310M400US33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",Milwaukee-Waukesha-West Allis,Milwaukee,WI,69522
310M400US12100,"Atlantic City-Hammonton, NJ Metro Area",Atlantic City-Hammonton,Atlantic City,NJ,69499
310M400US36260,"Ogden-Clearfield, UT Metro Area",Ogden-Clearfield,Ogden,UT,69472
310M400US31740,"Manhattan, KS Metro Area",Manhattan,Manhattan,KS,69425
310M400US47460,"Walla Walla, WA Metro Area",Walla Walla,Walla Walla,WA,69396
310M400US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Crestview-Fort Walton Beach-Destin,Crestview,FL,69237
310M400US38340,"Pittsfield, MA Metro Area",Pittsfield,Pittsfield,MA,69145
310M400US16220,"Casper, WY Metro Area",Casper,Casper,WY,68921
310M400US46860,"Vernal, UT Micro Area",Vernal,Vernal,UT,68896
310M400US43660,"Snyder, TX Micro Area",Snyder,Snyder,TX,68833
310M400US44020,"Spirit Lake, IA Micro Area",Spirit Lake,Spirit Lake,IA,68830
310M400US13460,"Bend-Redmond, OR Metro Area",Bend-Redmond,Bend,OR,68767
310M400US24220,"Grand Forks, ND-MN Metro Area",Grand Forks,Grand Forks,ND,68763
310M400US28300,"Keene, NH Micro Area",Keene,Keene,NH,68731
310M400US17200,"Claremont-Lebanon, NH-VT Micro Area",Claremont-Lebanon,Claremont,NH,68667
310M400US25700,"Hays, KS Micro Area",Hays,Hays,KS,68507
310M400US27420,"Jamestown, ND Micro Area",Jamestown,Jamestown,ND,68500
310M400US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown-Bethlehem-Easton,Allentown,PA,68491
310M400US13380,"Bellingham, WA Metro Area",Bellingham,Bellingham,WA,68379
310M400US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville-Davidson--Murfreesboro--Franklin,Nashville,TN,68340
310M400US21260,"Ellensburg, WA Micro Area",Ellensburg,Ellensburg,WA,68228
310M400US16140,"Carroll, IA Micro Area",Carroll,Carroll,IA,68125
310M400US48580,"Whitewater-Elkhorn, WI Micro Area",Whitewater-Elkhorn,Whitewater,WI,68037
310M400US35840,"North Port-Sarasota-Bradenton, FL Metro Area",North Port-Sarasota-Bradenton,North Port,FL,67975
310M400US17140,"Cincinnati, OH-KY-IN Metro Area",Cincinnati,Cincinnati,OH,67953
310M400US38920,"Port Lavaca, TX Micro Area",Port Lavaca,Port Lavaca,TX,67946
310M400US48020,"Watertown-Fort Atkinson, WI Micro Area",Watertown-Fort Atkinson,Watertown,WI,67908
310M400US31860,"Mankato-North Mankato, MN Metro Area",Mankato-North Mankato,Mankato,MN,67864
310M400US29540,"Lancaster, PA Metro Area",Lancaster,Lancaster,PA,67802
310M400US28620,"Kill Devil Hills, NC Micro Area",Kill Devil Hills,Kill Devil Hills,NC,67597
310M400US26220,"Hood River, OR Micro Area",Hood River,Hood River,OR,67560
310M400US24640,"Greenfield Town, MA Micro Area",Greenfield Town,Greenfield Town,MA,67488
310M400US29620,"Lansing-East Lansing, MI Metro Area",Lansing-East Lansing,Lansing,MI,67453
310M400US40300,"Rochelle, IL Micro Area",Rochelle,Rochelle,IL,67452
310M400US11540,"Appleton, WI Metro Area",Appleton,Appleton,WI,67436
310M400US14780,"Brenham, TX Micro Area",Brenham,Brenham,TX,67426
310M400US36840,"Ottawa, KS Micro Area",Ottawa,Ottawa,KS,67357
310M400US45900,"Traverse City, MI Micro Area",Traverse City,Traverse City,MI,67307
310M400US41180,"St. Louis, MO-IL Metro Area",St. Louis,St. Louis,MO,67295
310M400US26780,"Hutchinson, MN Micro Area",Hutchinson,Hutchinson,MN,67258
310M400US49260,"Woodward, OK Micro Area",Woodward,Woodward,OK,67258
310M400US38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix-Mesa-Scottsdale,Phoenix,AZ,67192
310M400US12860,"Batavia, NY Micro Area",Batavia,Batavia,NY,67103
310M400US21300,"Elmira, NY Metro Area",Elmira,Elmira,NY,67080
310M400US38700,"Pontiac, IL Micro Area",Pontiac,Pontiac,IL,66963
310M400US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis-Carmel-Anderson,Indianapolis,IN,66761
310M400US23900,"Gettysburg, PA Metro Area",Gettysburg,Gettysburg,PA,66757
310M400US41540,"Salisbury, MD-DE Metro Area",Salisbury,Salisbury,MD,66684
310M400US35820,"North Platte, NE Micro Area",North Platte,North Platte,NE,66494
310M400US48820,"Willmar, MN Micro Area",Willmar,Willmar,MN,66401
310M400US49100,"Winona, MN Micro Area",Winona,Winona,MN,66375
310M400US38840,"Port Clinton, OH Micro Area",Port Clinton,Port Clinton,OH,66368
310M400US37900,"Peoria, IL Metro Area",Peoria,Peoria,IL,66352
310M400US45060,"Syracuse, NY Metro Area",Syracuse,Syracuse,NY,66311
310M400US29100,"La Crosse-Onalaska, WI-MN Metro Area",La Crosse-Onalaska,La Crosse,WI,66240
310M400US39740,"Reading, PA Metro Area",Reading,Reading,PA,66222
310M400US36420,"Oklahoma City, OK Metro Area",Oklahoma City,Oklahoma City,OK,66182
310M400US40380,"Rochester, NY Metro Area",Rochester,Rochester,NY,66157
310M400US23620,"Gainesville, TX Micro Area",Gainesville,Gainesville,TX,66128
310M400US42680,"Sebastian-Vero Beach, FL Metro Area",Sebastian-Vero Beach,Sebastian,FL,66091
310M400US47980,"Watertown, SD Micro Area",Watertown,Watertown,SD,66023
310M400US45540,"The Villages, FL Metro Area",The Villages,The Villages,FL,65964
310M400US48900,"Wilmington, NC Metro Area",Wilmington,Wilmington,NC,65937
310M400US49620,"York-Hanover, PA Metro Area",York-Hanover,York,PA,65875
310M400US49020,"Winchester, VA-WV Metro Area",Winchester,Winchester,VA,65829
310M400US23860,"Georgetown, SC Micro Area",Georgetown,Georgetown,SC,65744
310M400US47540,"Wapakoneta, OH Micro Area",Wapakoneta,Wapakoneta,OH,65717
310M400US24580,"Green Bay, WI Metro Area",Green Bay,Green Bay,WI,65700
310M400US13740,"Billings, MT Metro Area",Billings,Billings,MT,65691
310M400US47940,"Waterloo-Cedar Falls, IA Metro Area",Waterloo-Cedar Falls,Waterloo,IA,65620
310M400US16180,"Carson City, NV Metro Area",Carson City,Carson City,NV,65612
310M400US35580,"New Ulm, MN Micro Area",New Ulm,New Ulm,MN,65593
310M400US39660,"Rapid City, SD Metro Area",Rapid City,Rapid City,SD,65516
310M400US45220,"Tallahassee, FL Metro Area",Tallahassee,Tallahassee,FL,65492
310M400US38300,"Pittsburgh, PA Metro Area",Pittsburgh,Pittsburgh,PA,65487
310M400US22300,"Findlay, OH Micro Area",Findlay,Findlay,OH,65451
310M400US32700,"McPherson, KS Micro Area",McPherson,McPherson,KS,65381
310M400US12380,"Austin, MN Micro Area",Austin,Austin,MN,65327
310M400US48300,"Wenatchee, WA Metro Area",Wenatchee,Wenatchee,WA,65279
310M400US30460,"Lexington-Fayette, KY Metro Area",Lexington-Fayette,Lexington,KY,65267
310M400US18020,"Columbus, IN Metro Area",Columbus,Columbus,IN,65266
310M400US23580,"Gainesville, GA Metro Area",Gainesville,Gainesville,GA,65179
310M400US14380,"Boone, NC Micro Area",Boone,Boone,NC,65137
310M400US20220,"Dubuque, IA Metro Area",Dubuque,Dubuque,IA,65062
310M400US28100,"Kankakee, IL Metro Area",Kankakee,Kankakee,IL,65044
310M400US29200,"Lafayette-West Lafayette, IN Metro Area",Lafayette-West Lafayette,Lafayette,IN,65000
310M400US45820,"Topeka, KS Metro Area",Topeka,Topeka,KS,64977
310M400US24340,"Grand Rapids-Wyoming, MI Metro Area",Grand Rapids-Wyoming,Grand Rapids,MI,64906
310M400US48140,"Wausau, WI Metro Area",Wausau,Wausau,WI,64903
310M400US39420,"Pullman, WA Micro Area",Pullman,Pullman,WA,64874
310M400US22540,"Fond du Lac, WI Metro Area",Fond du Lac,Fond du Lac,WI,64841
310M400US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte-Concord-Gastonia,Charlotte,NC,64840
310M400US44620,"Stevens Point, WI Micro Area",Stevens Point,Stevens Point,WI,64796
310M400US27260,"Jacksonville, FL Metro Area",Jacksonville,Jacksonville,FL,64783
310M400US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",Buffalo-Cheektowaga-Niagara Falls,Buffalo,NY,64665
310M400US19820,"Detroit-Warren-Dearborn, MI Metro Area",Detroit-Warren-Dearborn,Detroit,MI,64665
310M400US21860,"Fairmont, MN Micro Area",Fairmont,Fairmont,MN,64637
310M400US41420,"Salem, OR Metro Area",Salem,Salem,OR,64607
310M400US47020,"Victoria, TX Metro Area",Victoria,Victoria,TX,64602
310M400US30140,"Lebanon, PA Metro Area",Lebanon,Lebanon,PA,64600
310M400US28020,"Kalamazoo-Portage, MI Metro Area",Kalamazoo-Portage,Kalamazoo,MI,64589
310M400US32140,"Marshall, MN Micro Area",Marshall,Marshall,MN,64575
310M400US33220,"Midland, MI Metro Area",Midland,Midland,MI,64565
310M400US23180,"Frankfort, KY Micro Area",Frankfort,Frankfort,KY,64540
310M400US44140,"Springfield, MA Metro Area",Springfield,Springfield,MA,64488
310M400US43100,"Sheboygan, WI Metro Area",Sheboygan,Sheboygan,WI,64477
310M400US38820,"Port Angeles, WA Micro Area",Port Angeles,Port Angeles,WA,64471
310M400US14260,"Boise City, ID Metro Area",Boise City,Boise City,ID,64468
310M400US32860,"Menomonie, WI Micro Area",Menomonie,Menomonie,WI,64455
310M400US31380,"Macomb, IL Micro Area",Macomb,Macomb,IL,64447
310M400US19940,"Dixon, IL Micro Area",Dixon,Dixon,IL,64443
310M400US10820,"Alexandria, MN Micro Area",Alexandria,Alexandria,MN,64399
310M400US43220,"Shelton, WA Micro Area",Shelton,Shelton,WA,64371
310M400US49220,"Wisconsin Rapids-Marshfield, WI Micro Area",Wisconsin Rapids-Marshfield,Wisconsin Rapids,WI,64311
310M400US33780,"Monroe, MI Metro Area",Monroe,Monroe,MI,64291
310M400US25820,"Hereford, TX Micro Area",Hereford,Hereford,TX,64288
310M400US45000,"Susanville, CA Micro Area",Susanville,Susanville,CA,64240
310M400US13180,"Beaver Dam, WI Micro Area",Beaver Dam,Beaver Dam,WI,64187
310M400US40860,"Rutland, VT Micro Area",Rutland,Rutland,VT,64130
310M400US10420,"Akron, OH Metro Area",Akron,Akron,OH,64126
310M400US38460,"Plattsburgh, NY Micro Area",Plattsburgh,Plattsburgh,NY,64095
310M400US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",Davenport-Moline-Rock Island,Davenport,IA,64091
310M400US15980,"Cape Coral-Fort Myers, FL Metro Area",Cape Coral-Fort Myers,Cape Coral,FL,64089
310M400US22260,"Fergus Falls, MN Micro Area",Fergus Falls,Fergus Falls,MN,63979
310M400US19300,"Daphne-Fairhope-Foley, AL Metro Area",Daphne-Fairhope-Foley,Daphne,AL,63975
