State,Abbrev,City,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft",Arson2,"Motorvehicletheft",Total,Per_1k
ALABAMA,AL,Abbeville,"2,551",18,0,2,0,16,49,14,33,,2,134,52.52842023
ALABAMA,AL,Adamsville,"4,323",19,0,1,4,14,289,42,230,,17,616,142.4936387
ALABAMA,AL,Alabaster,"33,501",92,0,2,10,80,579,56,497,,26,"1,342",40.05850572
ALABAMA,AL,Albertville,"21,428",24,0,6,10,8,802,194,492,,116,"1,652",77.09538921
ALABAMA,AL,Alexander City,"14,548",314,2,5,15,292,610,92,484,,34,"1,848",127.0277701
ALABAMA,AL,Aliceville,"2,315",9,0,0,1,8,24,7,16,,1,66,28.50971922
ALABAMA,AL,Andalusia,"8,753",82,1,6,6,69,467,76,368,,23,"1,098",125.4427054
ALABAMA,AL,Anniston,"21,592",646,7,43,68,528,"1,696",413,"1,131",,152,"4,684",216.9321971
ALABAMA,AL,Ardmore,"1,428",5,0,0,1,4,35,15,18,,2,80,56.02240896
ALABAMA,AL,Ashford,"2,145",4,0,0,0,4,32,2,24,,6,72,33.56643357
ALABAMA,AL,Ashland,"1,918",52,0,0,1,51,57,16,35,,6,218,113.6600626
ALABAMA,AL,Athens,"26,177",13,3,0,8,2,768,110,630,,28,"1,562",59.67070329
ALABAMA,AL,Auburn,"65,585",240,4,16,29,191,"1,396",115,"1,206",,75,"3,272",49.88945643
ALABAMA,AL,Bay Minette,"9,304",73,0,3,3,67,250,35,196,,19,646,69.43250215
ALABAMA,AL,Bayou La Batre,"2,500",36,0,4,5,27,305,70,203,,32,682,272.8
ALABAMA,AL,Birmingham,"210,564","4,025",88,180,941,"2,816","13,295","2,555","8,988",145,"1,752","34,785",165.1991793
ALABAMA,AL,Boaz,"9,678",74,0,3,3,68,364,68,259,,37,876,90.51456913
ALABAMA,AL,Brent,"4,853",18,0,2,2,14,96,25,66,,5,228,46.98124871
ALABAMA,AL,Brewton,"5,212",31,0,3,1,27,175,19,132,,24,412,79.04834996
ALABAMA,AL,Brilliant,867,3,0,0,0,3,29,7,19,,3,64,73.8177624
ALABAMA,AL,Brookwood,"1,861",7,0,1,2,4,103,27,54,,22,220,118.2160129
ALABAMA,AL,Calera,"14,334",265,2,10,6,247,429,164,242,,23,"1,388",96.83270546
ALABAMA,AL,Camden,"1,824",26,1,1,0,24,85,28,55,,2,222,121.7105263
ALABAMA,AL,Carrollton,961,4,0,0,0,4,13,4,7,,2,34,35.3798127
ALABAMA,AL,Cedar Bluff,"1,794",1,0,0,0,1,20,3,16,,1,42,23.41137124
ALABAMA,AL,Chatom,"1,200",8,0,0,0,8,34,5,25,,4,84,70
ALABAMA,AL,Cherokee,999,1,0,0,0,1,19,2,13,,4,40,40.04004004
ALABAMA,AL,Childersburg,"4,870",64,2,1,2,59,197,43,141,,13,522,107.1868583
ALABAMA,AL,Clayton,"2,854",4,0,0,0,4,25,8,15,,2,58,20.32235459
ALABAMA,AL,Coaling,"1,661",6,0,2,1,3,55,15,33,,7,122,73.44972908
ALABAMA,AL,Columbiana,"4,720",64,0,1,2,61,113,15,89,,9,354,75
ALABAMA,AL,Cottonwood,"1,251",2,0,0,0,2,10,4,6,,0,24,19.18465228
ALABAMA,AL,Cullman,"15,470",32,1,5,6,20,629,64,521,,44,"1,322",85.45572075
ALABAMA,AL,Dadeville,"3,091",22,0,2,4,16,110,18,81,,11,264,85.40925267
ALABAMA,AL,Daleville,"5,096",8,0,0,0,8,56,12,39,,5,128,25.1177394
ALABAMA,AL,Daphne,"26,618",36,0,6,8,22,463,42,404,,17,998,37.4934255
ALABAMA,AL,Dauphin Island,"1,274",4,0,0,0,4,57,17,35,,5,122,95.76138148
ALABAMA,AL,Decatur,"54,207",228,1,31,58,138,"2,308",445,"1,692",,171,"5,072",93.56725146
ALABAMA,AL,Demopolis,"6,770",51,0,4,2,45,241,55,175,,11,584,86.26292467
ALABAMA,AL,Dothan,"68,530",670,9,27,80,554,"2,799",561,"2,041",,197,"6,938",101.2403327
ALABAMA,AL,Eclectic,"1,022",10,0,1,0,9,41,12,27,,2,102,99.80430528
ALABAMA,AL,Elba,"3,864",20,0,1,4,15,113,31,73,,9,266,68.84057971
ALABAMA,AL,Enterprise,"28,464",127,1,11,18,97,809,208,538,,63,"1,872",65.76728499
ALABAMA,AL,Eufaula,"11,905",75,1,9,10,55,469,109,333,,27,"1,088",91.3901722
ALABAMA,AL,Eutaw,"2,656",31,1,0,5,25,87,31,46,,10,236,88.85542169
ALABAMA,AL,Fairfield,"10,625",224,8,3,75,138,855,284,489,,82,"2,158",203.1058824
ALABAMA,AL,Fairhope,"21,688",43,0,16,3,24,537,57,449,,31,"1,160",53.4857986
ALABAMA,AL,Falkville,"1,243",10,0,1,0,9,28,8,16,,4,76,61.14239743
ALABAMA,AL,Fayette,"4,313",10,0,1,0,9,85,12,66,,7,190,44.05286344
ALABAMA,AL,Florence,"39,925",206,4,23,30,149,"1,663",282,"1,215",,166,"3,738",93.6255479
ALABAMA,AL,Foley,"18,740",48,2,6,7,33,755,90,643,,22,"1,606",85.69903949
ALABAMA,AL,Fultondale,"9,312",46,0,3,8,35,366,42,300,,24,824,88.48797251
ALABAMA,AL,Fyffe,"1,018",5,0,0,0,5,28,0,22,,6,66,64.83300589
ALABAMA,AL,Gadsden,"35,204",372,3,24,47,298,"2,495",409,"1,831",,255,"5,734",162.8792183
ALABAMA,AL,Gardendale,"13,907",94,1,3,9,81,347,33,292,,22,882,63.42129863
ALABAMA,AL,Geraldine,900,3,0,1,0,2,33,8,15,,10,72,80
ALABAMA,AL,Glencoe,"5,151",8,1,2,1,4,87,31,46,,10,190,36.88604155
ALABAMA,AL,Greenville,"7,564",109,0,3,3,103,342,36,293,,13,902,119.2490746
ALABAMA,AL,Guin,"2,260",6,0,1,0,5,46,9,30,,7,104,46.01769912
ALABAMA,AL,Gulf Shores,"12,014",24,0,3,2,19,497,53,419,,25,"1,042",86.73214583
ALABAMA,AL,Guntersville,"8,462",52,2,1,8,41,550,79,430,,41,"1,204",142.2831482
ALABAMA,AL,Hamilton,"6,611",23,0,4,1,18,187,45,124,,18,420,63.5304795
ALABAMA,AL,Hanceville,"3,423",9,0,5,3,1,98,13,74,,11,214,62.51825884
ALABAMA,AL,Harpersville,"1,721",7,0,1,1,5,32,7,19,,6,78,45.32248693
ALABAMA,AL,Hartford,"2,587",16,0,2,0,14,55,8,39,,8,142,54.88983378
ALABAMA,AL,Hartselle,"14,385",61,0,3,2,56,353,57,269,,27,828,57.55995829
ALABAMA,AL,Headland,"4,706",5,0,1,1,3,89,16,71,,2,188,39.94900127
ALABAMA,AL,Helena,"19,387",61,0,3,0,58,131,16,97,,18,384,19.80708722
ALABAMA,AL,Henagar,"2,354",1,0,0,0,1,35,8,25,,2,72,30.58623619
ALABAMA,AL,Hokes Bluff,"4,267",3,0,0,0,3,49,11,33,,5,104,24.37309585
ALABAMA,AL,Homewood,"25,523",75,0,7,35,33,956,138,750,,68,"2,062",80.7898758
ALABAMA,AL,Hueytown,"15,367",71,0,7,3,61,531,72,430,,29,"1,204",78.34971042
ALABAMA,AL,Irondale,"12,486",74,1,5,7,61,350,84,236,,30,848,67.91606599
ALABAMA,AL,Jackson,"4,733",20,1,4,1,14,175,29,141,,5,390,82.40016903
ALABAMA,AL,Jacksonville,"12,534",85,0,3,4,78,433,107,300,,26,"1,036",82.65517792
ALABAMA,AL,Jasper,"13,512",74,0,7,8,59,"1,035",125,822,,88,"2,218",164.1503848
ALABAMA,AL,Killen,969,1,0,0,0,1,20,2,16,,2,42,43.34365325
ALABAMA,AL,Kimberly,"3,246",7,0,3,0,4,27,1,21,,5,68,20.94886014
ALABAMA,AL,Lanett,"6,245",88,0,13,14,61,492,96,348,,48,"1,160",185.7485989
ALABAMA,AL,Leesburg,"1,021",4,0,0,1,3,35,13,17,,5,78,76.3956905
ALABAMA,AL,Leighton,705,3,0,0,1,2,38,13,20,,5,82,116.3120567
ALABAMA,AL,Level Plains,"2,023",7,0,1,0,6,68,24,36,,8,150,74.14730598
ALABAMA,AL,Lincoln,"6,725",71,0,3,5,63,336,56,239,,41,814,121.0408922
ALABAMA,AL,Littleville,985,0,0,0,0,0,8,3,3,,2,16,16.24365482
ALABAMA,AL,Livingston,"3,317",18,1,0,2,15,42,6,36,,0,120,36.17726862
ALABAMA,AL,Maplesville,702,3,0,1,0,2,12,4,7,,1,30,42.73504274
ALABAMA,AL,Margaret,"4,870",9,0,1,0,8,43,11,28,,4,104,21.35523614
ALABAMA,AL,McIntosh,221,6,0,0,0,6,25,5,18,,2,62,280.5429864
ALABAMA,AL,Midland City,"2,387",13,0,2,2,9,70,20,43,,7,166,69.54335987
ALABAMA,AL,Millbrook,"15,410",44,0,7,6,31,728,82,607,,39,"1,544",100.1946788
ALABAMA,AL,Mobile3,"245,475","1,613",26,168,378,"1,041","12,094","2,568","8,442",55,"1,084","27,469",111.9014156
ALABAMA,AL,Montgomery,"198,662","1,216",29,39,391,757,"8,480","2,052","5,456",,972,"19,392",97.61303118
ALABAMA,AL,Moody,"13,134",56,1,1,2,52,206,34,151,,21,524,39.89645196
ALABAMA,AL,Morris,"1,987",2,0,1,0,1,31,9,15,,7,66,33.21590337
ALABAMA,AL,Moulton,"3,229",7,0,3,0,4,76,32,40,,4,166,51.40910499
ALABAMA,AL,Mountain Brook,"20,373",16,0,2,7,7,228,47,175,,6,488,23.95327149
ALABAMA,AL,Mount Vernon,"1,491",10,0,1,1,8,34,5,26,,3,88,59.02079142
ALABAMA,AL,Muscle Shoals,"14,143",86,2,7,7,70,800,115,620,,65,"1,772",125.2916637
ALABAMA,AL,New Hope,"2,846",14,0,2,0,12,71,16,44,,11,170,59.73295854
ALABAMA,AL,Newton,"1,457",7,0,1,0,6,33,6,26,,1,80,54.90734386
ALABAMA,AL,Northport,"25,353",89,1,19,20,49,772,123,610,,39,"1,722",67.9209561
ALABAMA,AL,Odenville,"3,781",15,0,3,0,12,43,9,27,,7,116,30.67971436
ALABAMA,AL,Ohatchee,"1,157",2,0,0,0,2,11,6,4,,1,26,22.47191011
ALABAMA,AL,Oneonta,"6,646",17,0,2,1,14,218,20,176,,22,470,70.71922961
ALABAMA,AL,Opelika,"30,822",168,5,13,31,119,"1,214",143,991,,80,"2,764",89.67620531
ALABAMA,AL,Orange Beach,"6,116",15,1,8,0,6,226,13,206,,7,482,78.80967953
ALABAMA,AL,Owens Crossroads,"2,002",6,0,0,1,5,20,5,12,,3,52,25.97402597
ALABAMA,AL,Oxford,"21,149",67,0,1,11,55,928,111,787,,30,"1,990",94.09428342
ALABAMA,AL,Ozark,"14,358",148,1,2,7,138,619,88,493,,38,"1,534",106.8393927
ALABAMA,AL,Parrish,938,11,0,3,3,5,40,16,21,,3,102,108.7420043
ALABAMA,AL,Pelham,"23,785",36,0,3,8,25,404,39,330,,35,880,36.99810805
ALABAMA,AL,Phenix City,"36,668",235,7,51,75,102,"1,326",243,927,,156,"3,122",85.14235846
ALABAMA,AL,Piedmont,"4,583",23,1,3,8,11,102,22,74,,6,250,54.54942178
ALABAMA,AL,Pine Hill,870,7,1,2,0,4,26,7,13,,6,66,75.86206897
ALABAMA,AL,Pleasant Grove,"10,105",16,0,2,1,13,127,17,102,,8,286,28.30282039
ALABAMA,AL,Prattville,"35,697",83,1,8,34,40,"1,221",126,"1,003",,92,"2,608",73.05936073
ALABAMA,AL,Prichard,"21,615",263,7,4,46,206,930,309,478,,143,"2,386",110.3863058
ALABAMA,AL,Rainbow City,"9,546",1,0,0,0,1,50,11,30,,9,102,10.68510371
ALABAMA,AL,Red Bay,"3,075",7,0,3,0,4,62,13,43,,6,138,44.87804878
ALABAMA,AL,Reform,"1,577",10,0,2,1,7,14,5,8,,1,48,30.43753963
ALABAMA,AL,Riverside,"2,306",6,0,1,0,5,39,8,26,,5,90,39.02862099
ALABAMA,AL,Roanoke,"5,914",41,0,2,2,37,130,15,106,,9,342,57.82888062
ALABAMA,AL,Rogersville,"1,226",8,0,1,1,6,30,11,16,,3,76,61.99021207
ALABAMA,AL,Saraland,"14,704",51,1,8,6,36,490,61,388,,41,"1,082",73.58541893
ALABAMA,AL,Satsuma,"6,153",16,0,0,2,14,77,19,52,,6,186,30.22915651
ALABAMA,AL,Scottsboro,"14,443",193,0,8,5,180,671,93,549,,29,"1,728",119.6427335
ALABAMA,AL,Sheffield,"8,914",73,1,14,7,51,446,95,312,,39,"1,038",116.4460399
ALABAMA,AL,Snead,841,2,0,0,0,2,28,6,17,,5,60,71.34363853
ALABAMA,AL,Southside,"8,774",15,0,5,0,10,65,22,36,,7,160,18.23569638
ALABAMA,AL,Spanish Fort,"8,923",33,0,6,5,22,246,14,230,,2,558,62.53502185
ALABAMA,AL,Steele,"1,074",3,0,1,0,2,10,2,7,,1,26,24.20856611
ALABAMA,AL,Sulligent,"1,835",9,0,2,0,7,60,15,42,,3,138,75.20435967
ALABAMA,AL,Sumiton,"2,348",2,0,0,1,1,47,9,34,,4,98,41.73764906
ALABAMA,AL,Summerdale,"1,467",24,0,2,0,22,64,16,43,,5,176,119.9727335
ALABAMA,AL,Sylacauga,"12,186",77,3,13,10,51,614,98,481,,35,"1,382",113.4088298
ALABAMA,AL,Talladega,"15,341",124,4,8,10,102,805,179,556,,70,"1,858",121.1133564
ALABAMA,AL,Tallassee,"4,650",43,1,3,4,35,276,43,211,,22,638,137.2043011
ALABAMA,AL,Tarrant,"6,175",109,1,0,16,92,368,86,253,,29,954,154.4939271
ALABAMA,AL,Taylor,"2,399",0,0,0,0,0,7,0,5,,2,14,5.835764902
ALABAMA,AL,Thomasville,"3,909",23,0,2,1,20,160,26,119,,15,366,93.63008442
ALABAMA,AL,Thorsby,"2,061",6,0,0,0,6,16,1,10,,5,44,21.34885978
ALABAMA,AL,Town Creek,"1,044",4,0,1,1,2,16,3,11,,2,40,38.31417625
ALABAMA,AL,Triana,544,5,0,1,0,4,23,13,8,,2,56,102.9411765
ALABAMA,AL,Trinity,"2,165",10,0,3,2,5,25,8,13,,4,70,32.33256351
ALABAMA,AL,Troy,"19,159",303,6,7,28,262,961,192,713,,56,"2,528",131.9484315
ALABAMA,AL,Trussville,"22,096",113,0,6,7,100,654,38,604,,12,"1,534",69.4243302
ALABAMA,AL,Tuscaloosa,"101,764",514,5,47,140,322,"4,415",753,"3,347",,315,"9,858",96.87119217
ALABAMA,AL,Tuscumbia,"8,370",26,0,2,3,21,281,49,206,,26,614,73.3572282
ALABAMA,AL,Union Springs,"3,510",49,0,3,7,39,184,66,101,,17,466,132.7635328
ALABAMA,AL,Uniontown,"2,271",18,1,0,3,14,60,14,33,,13,156,68.69220608
ALABAMA,AL,Valley,"9,230",54,2,14,12,26,483,74,371,,38,"1,074",116.3596966
ALABAMA,AL,Vance,"1,626",3,0,0,0,3,19,4,13,,2,44,27.0602706
ALABAMA,AL,Vestavia Hills,"34,368",30,0,0,3,27,435,83,313,,39,930,27.06005587
ALABAMA,AL,Warrior,"3,213",10,0,1,2,7,49,9,27,,13,118,36.72580143
ALABAMA,AL,Wedowee,796,4,0,0,0,4,44,11,29,,4,96,120.6030151
ALABAMA,AL,Wetumpka,"8,377",28,1,6,6,15,366,32,321,,13,788,94.06708846
ALABAMA,AL,York,"2,245",19,0,0,1,18,16,5,7,,4,70,31.18040089
ALASKA,AK,Anchorage,"291,992","3,824",26,613,717,"2,468","14,389","2,068","9,498",58,"2,823","36,484",124.9486287
ALASKA,AK,Bethel,"6,509",99,0,31,6,62,57,15,30,4,12,316,48.54816408
ALASKA,AK,Bristol Bay Borough,843,0,0,0,0,0,9,2,2,0,5,18,21.35231317
ALASKA,AK,Cordova,"2,179",6,0,0,0,6,12,3,9,0,0,36,16.52134006
ALASKA,AK,Craig,"1,285",8,0,1,0,7,25,5,19,0,1,66,51.3618677
ALASKA,AK,Dillingham,"2,365",32,0,9,1,22,44,7,31,1,6,153,64.69344609
ALASKA,AK,Fairbanks,"31,635",193,4,21,43,125,"1,354",111,"1,089",4,154,"3,098",97.92950846
ALASKA,AK,Haines,"2,508",3,0,0,0,3,16,4,12,0,0,38,15.15151515
ALASKA,AK,Homer,"5,797",12,0,0,2,10,216,24,182,0,10,456,78.66137657
ALASKA,AK,Juneau,"31,922",264,1,41,37,185,"1,550",294,"1,125",5,131,"3,633",113.8086586
ALASKA,AK,Kenai,"7,888",62,1,19,1,41,561,49,462,0,50,"1,246",157.9614604
ALASKA,AK,Ketchikan,"8,300",25,1,6,4,14,410,38,348,1,24,871,104.939759
ALASKA,AK,Kodiak,"5,995",48,0,12,0,36,259,81,156,0,22,614,102.4186822
ALASKA,AK,Kotzebue,"3,273",106,1,19,12,74,140,20,92,1,28,493,150.6263367
ALASKA,AK,Nome4,"3,874",103,0,39,1,63,37,5,26,0,6,280,72.27671657
ALASKA,AK,North Pole,"2,096",11,0,1,0,10,62,1,59,1,2,147,70.13358779
ALASKA,AK,North Slope Borough,"9,743",148,1,14,3,130,89,27,54,0,8,474,48.65031305
ALASKA,AK,Palmer,"7,403",26,0,3,2,21,244,12,215,0,17,540,72.94340132
ALASKA,AK,Petersburg,"3,262",10,0,0,1,9,77,15,56,0,6,174,53.34150828
ALASKA,AK,Seward,"2,850",6,0,0,0,6,74,10,61,0,3,160,56.14035088
ALASKA,AK,Sitka,"8,588",21,0,0,4,17,227,17,196,0,14,496,57.75500699
ALASKA,AK,Skagway,"1,177",0,0,0,0,0,9,1,8,0,0,18,15.2931181
ALASKA,AK,Soldotna,"4,731",18,0,1,5,12,167,8,152,2,7,372,78.63031072
ALASKA,AK,Unalaska,"4,546",17,0,3,0,14,49,5,34,2,10,134,29.47646282
ALASKA,AK,Valdez,"3,845",5,0,3,0,2,68,11,55,0,2,146,37.97139142
ALASKA,AK,Wasilla,"10,522",61,0,1,10,50,637,92,470,4,75,"1,400",133.0545524
ALASKA,AK,Wrangell,"2,521",1,0,1,0,0,23,1,18,0,4,48,19.04006347
ARIZONA,AZ,Apache Junction,"41,245",81,0,0,16,65,773,118,575,5,80,"1,713",41.53230695
ARIZONA,AZ,Avondale,"85,204",286,6,20,73,187,"2,739",384,"2,111",18,244,"6,068",71.21731374
ARIZONA,AZ,Buckeye,"71,318",125,1,30,16,78,"1,348",171,"1,113",1,64,"2,947",41.3219664
ARIZONA,AZ,Bullhead City,"40,354",149,1,20,34,94,"1,444",362,945,4,137,"3,190",79.05040393
ARIZONA,AZ,Camp Verde,"11,249",31,0,3,3,25,212,53,142,0,17,486,43.20384034
ARIZONA,AZ,Casa Grande,"56,479",346,1,32,34,279,"1,478",228,"1,144",6,106,"3,654",64.6966129
ARIZONA,AZ,Chandler,"255,986",606,4,146,123,333,"5,430",658,"4,455",15,317,"12,087",47.21742595
ARIZONA,AZ,Chino Valley,"11,840",42,1,3,1,37,179,33,132,0,14,442,37.33108108
ARIZONA,AZ,Clarkdale,"4,367",4,0,0,0,4,46,11,29,0,6,100,22.89901534
ARIZONA,AZ,Coolidge,"12,815",37,0,2,10,25,433,66,331,5,36,945,73.74170893
ARIZONA,AZ,Eagar,"4,876",9,0,1,0,8,38,4,31,1,3,95,19.48318294
ARIZONA,AZ,El Mirage,"35,733",77,1,15,12,49,933,397,448,11,88,"2,031",56.83821677
ARIZONA,AZ,Eloy,"19,549",81,0,8,2,71,351,70,252,6,29,870,44.50355517
ARIZONA,AZ,Flagstaff,"72,852",342,2,37,40,263,"2,465",178,"2,234",48,53,"5,662",77.71921155
ARIZONA,AZ,Florence,"25,987",34,0,2,0,32,127,16,105,0,6,322,12.39081079
ARIZONA,AZ,Fredonia,"1,300",5,1,0,0,4,11,5,3,1,3,33,25.38461538
ARIZONA,AZ,Gilbert,"247,463",234,2,75,32,125,"3,273",406,"2,715",16,152,"7,030",28.4082873
ARIZONA,AZ,Glendale,"249,799","1,167",9,110,325,723,"10,186","1,641","7,491",62,"1,054","22,768",91.14528081
ARIZONA,AZ,Globe,"7,330",157,3,2,3,149,541,76,418,3,47,"1,399",190.8594816
ARIZONA,AZ,Goodyear,"82,159",203,2,35,33,133,"2,081",358,"1,624",0,99,"4,568",55.59950827
ARIZONA,AZ,Hayden,970,5,0,0,0,5,39,20,16,1,3,89,91.75257732
ARIZONA,AZ,Holbrook,"5,048",18,0,0,1,17,189,44,130,2,15,416,82.4088748
ARIZONA,AZ,Jerome,456,1,0,0,0,1,10,3,7,0,0,22,48.24561404
ARIZONA,AZ,Kearny,"2,116",5,0,1,0,4,25,4,20,2,1,62,29.30056711
ARIZONA,AZ,Kingman,"29,669",118,1,5,15,97,"1,152",174,898,15,80,"2,555",86.11682227
ARIZONA,AZ,Lake Havasu City,"54,678",88,2,20,6,60,830,155,615,5,60,"1,841",33.66984893
ARIZONA,AZ,Marana,"46,447",33,0,7,5,21,"1,076",62,962,7,52,"2,225",47.9040627
ARIZONA,AZ,Maricopa,"48,660",93,1,13,7,72,489,57,399,0,33,"1,164",23.92108508
ARIZONA,AZ,Mesa,"504,873","1,837",17,238,417,"1,165","10,024","1,563","7,598",12,863,"23,734",47.00984208
ARIZONA,AZ,Miami,"1,764",18,0,0,2,16,26,21,5,1,0,89,50.45351474
ARIZONA,AZ,Nogales,"19,973",41,2,0,0,39,610,82,392,0,136,"1,302",65.18800381
ARIZONA,AZ,Oro Valley,"44,844",17,0,6,3,8,610,67,525,0,18,"1,254",27.96360717
ARIZONA,AZ,Page,"7,576",79,0,7,4,68,387,34,330,5,23,937,123.6800422
ARIZONA,AZ,Paradise Valley,"14,519",3,0,1,1,1,196,46,141,0,9,398,27.41235622
ARIZONA,AZ,Parker,"3,060",6,0,0,1,5,116,38,63,0,15,244,79.73856209
ARIZONA,AZ,Payson,"15,549",63,0,3,4,56,403,94,292,3,17,935,60.1324844
ARIZONA,AZ,Peoria,"170,177",388,3,57,68,260,"3,241",519,"2,505",6,217,"7,264",42.68496918
ARIZONA,AZ,Phoenix,"1,653,080","12,110",132,"1,086","3,112","7,780","57,732","10,479","39,438",242,"7,815","139,926",84.64563119
ARIZONA,AZ,Pinetop-Lakeside,"4,371",48,1,0,1,46,110,14,93,,3,316,72.29466941
ARIZONA,AZ,Prescott,"43,172",136,2,11,2,121,896,107,749,5,40,"2,069",47.92458075
ARIZONA,AZ,Prescott Valley,"45,337",67,1,10,5,51,776,73,676,1,27,"1,687",37.21022564
ARIZONA,AZ,Quartzsite,"3,695",15,0,1,1,13,105,24,71,2,10,242,65.49391069
ARIZONA,AZ,Safford,"9,657",32,0,0,3,29,282,46,219,2,17,630,65.23765144
ARIZONA,AZ,Sahuarita,"29,896",38,0,8,6,24,348,42,281,0,25,772,25.82285256
ARIZONA,AZ,San Luis,"33,074",8,1,3,1,3,472,56,317,0,99,960,29.02582089
ARIZONA,AZ,Scottsdale,"254,961",422,7,122,87,206,"5,683",711,"4,700",17,272,"12,227",47.95635411
ARIZONA,AZ,Show Low,"11,156",59,0,7,0,52,427,60,350,0,17,972,87.12800287
ARIZONA,AZ,Sierra Vista,"42,574",104,0,26,14,64,"1,121",153,923,2,45,"2,452",57.59383661
ARIZONA,AZ,Snowflake-Taylor,"9,971",36,0,0,0,36,178,59,106,3,13,431,43.22535353
ARIZONA,AZ,Somerton,"16,380",19,2,0,1,16,218,63,121,4,34,478,29.18192918
ARIZONA,AZ,Springerville,"1,955",2,1,0,0,1,18,3,13,0,2,40,20.46035806
ARIZONA,AZ,St. Johns,"3,510",21,0,3,1,17,48,11,37,2,0,140,39.88603989
ARIZONA,AZ,Superior,"3,095",7,0,0,0,7,75,17,54,21,4,185,59.77382876
ARIZONA,AZ,Surprise,"136,611",165,7,21,37,100,"2,103",239,"1,672",5,192,"4,541",33.24036864
ARIZONA,AZ,Tempe,"188,543",913,5,176,189,543,"7,802","1,017","6,247",12,538,"17,442",92.50940104
ARIZONA,AZ,Thatcher,"5,048",0,0,0,0,0,70,12,56,0,2,140,27.73375594
ARIZONA,AZ,Tolleson,"7,305",61,3,3,23,32,671,213,376,3,82,"1,467",200.8213552
ARIZONA,AZ,Tombstone,"1,283",3,0,0,0,3,22,1,19,1,2,51,39.75058457
ARIZONA,AZ,Tucson,"537,392","3,958",47,504,"1,224","2,183","26,623","3,257","20,798",158,"2,568","61,320",114.1066484
ARIZONA,AZ,Wellton,"3,003",6,3,1,0,2,31,13,15,0,3,74,24.64202464
ARIZONA,AZ,Wickenburg,"7,042",25,0,4,0,21,128,29,71,1,28,307,43.59556944
ARIZONA,AZ,Willcox,"3,465",9,0,0,1,8,159,43,107,2,9,338,97.54689755
ARIZONA,AZ,Williams,"3,176",13,0,1,1,11,85,10,74,0,1,196,61.71284635
ARIZONA,AZ,Winslow,"9,361",83,1,8,9,65,410,64,326,1,20,987,105.4374533
ARIZONA,AZ,Yuma,"96,121",491,9,37,55,390,"2,041",407,"1,417",18,217,"5,082",52.87086069
ARKANSAS,AR,Alexander,"3,078",16,2,1,1,12,76,20,47,0,9,184,59.77907732
ARKANSAS,AR,Alma,"5,772",40,0,12,3,25,245,36,199,0,10,570,98.75259875
ARKANSAS,AR,Altus,735,1,0,1,0,0,11,5,6,0,0,24,32.65306122
ARKANSAS,AR,Amity,678,3,0,0,0,3,8,1,4,0,3,22,32.44837758
ARKANSAS,AR,Arkadelphia,"10,647",45,0,12,4,29,256,43,204,0,9,602,56.54174885
ARKANSAS,AR,Ashdown,"4,389",16,0,5,1,10,120,24,93,0,3,272,61.9731146
ARKANSAS,AR,Ash Flat,"1,090",2,0,0,0,2,16,1,15,0,0,36,33.02752294
ARKANSAS,AR,Atkins,"3,041",7,0,4,1,2,80,19,59,1,2,175,57.54685959
ARKANSAS,AR,Austin,"3,508",7,0,2,2,3,25,14,10,0,1,64,18.24401368
ARKANSAS,AR,Bald Knob,"2,879",11,0,3,0,8,90,28,57,1,5,203,70.51059396
ARKANSAS,AR,Barling,"4,972",24,0,6,0,18,92,13,77,1,2,233,46.86242961
ARKANSAS,AR,Batesville,"10,782",46,0,11,4,31,311,48,249,1,14,715,66.31422742
ARKANSAS,AR,Bay,"1,806",1,0,1,0,0,19,4,15,0,0,40,22.14839424
ARKANSAS,AR,Beebe,"8,268",29,0,7,1,21,280,43,224,3,13,621,75.10885341
ARKANSAS,AR,Bella Vista,"28,798",53,0,23,0,30,193,30,157,0,6,492,17.08451976
ARKANSAS,AR,Benton5,"36,556",182,1,17,22,142,,,"1,124",5,105,"1,598",43.71375424
ARKANSAS,AR,Bentonville,"51,607",106,0,28,5,73,705,110,568,2,27,"1,624",31.46859922
ARKANSAS,AR,Berryville,"5,470",14,0,7,1,6,191,51,136,1,4,411,75.13711152
ARKANSAS,AR,Bethel Heights,"2,825",2,0,1,0,1,14,4,7,0,3,32,11.32743363
ARKANSAS,AR,Blytheville,"13,843",137,6,4,22,105,837,117,696,0,24,"1,948",140.720942
ARKANSAS,AR,Bono,"2,405",21,0,8,0,13,39,11,28,0,0,120,49.8960499
ARKANSAS,AR,Booneville,"3,837",5,0,4,0,1,92,19,71,0,2,194,50.56033359
ARKANSAS,AR,Bradford,742,4,0,1,0,3,23,2,19,0,2,54,72.77628032
ARKANSAS,AR,Brinkley,"2,658",40,1,4,5,30,124,32,86,1,6,329,123.7772761
ARKANSAS,AR,Brookland,"3,582",8,0,2,1,5,43,8,33,0,2,102,28.47571189
