City,State,Abbrev,Latitude,Longitude,Per_1k,Population,Total
Abbeville,ALABAMA,AL,31.5718,-85.2505,3.136025088,2551,8
Adamsville,ALABAMA,AL,33.6009,-86.9561,6.708304418,4323,29
Addison,ALABAMA,AL,34.2023,-87.1814,6.896551724,725,5
Alabaster,ALABAMA,AL,33.2443,-86.8164,2.507387839,33501,84
Alexander City,ALABAMA,AL,32.944,-85.9539,4.536706076,14548,66
Aliceville,ALABAMA,AL,33.1296,-88.1514,3.023758099,2315,7
Altoona,ALABAMA,AL,34.0262,-86.3261,2.188183807,914,2
Andalusia,ALABAMA,AL,31.3085,-86.4832,4.341368674,8753,38
Anderson,ALABAMA,AL,34.9248,-87.2687,3.636363636,275,1
Anniston,ALABAMA,AL,33.6594,-85.8316,4.168210448,21592,90
Arab,ALABAMA,AL,34.3181,-86.4958,4.090963783,8311,34
Ardmore,ALABAMA,AL,34.99,-86.85,7.00280112,1428,10
Argo,ALABAMA,AL,33.6818,-86.5305,2.094972067,4296,9
Arley,ALABAMA,AL,34.08,-87.2126,5.813953488,344,2
Ashford,ALABAMA,AL,31.183,-85.2363,2.797202797,2145,6
Ashland,ALABAMA,AL,33.2737,-85.8361,7.299270073,1918,14
Ashville,ALABAMA,AL,33.8369,-86.255,2.172024327,2302,5
Athens,ALABAMA,AL,34.8029,-86.9717,2.253887,26177,59
Atmore,ALABAMA,AL,31.0238,-87.4939,3.655935818,9847,36
Attalla,ALABAMA,AL,34.0218,-86.0886,5.002587545,5797,29
Auburn,ALABAMA,AL,32.6099,-85.4808,2.180376611,65585,143
Autaugaville,ALABAMA,AL,32.434,-86.6547,1.17370892,852,1
Baker Hill,ALABAMA,AL,,,11.90476191,252,3
Bay Minette,ALABAMA,AL,30.883,-87.773,3.224419604,9304,30
Bayou La Batre,ALABAMA,AL,30.4169,-88.225,8,2500,20
Bear Creek,ALABAMA,AL,34.2748,-87.7006,1.926782274,1038,2
Berry,ALABAMA,AL,33.6598,-87.6,4.578754579,1092,5
Bessemer,ALABAMA,AL,33.4018,-86.9544,6.05945122,26240,159
