,State,Code,Name,County,Violent,Murder,Rape,Robbery,Aggravated_Assault,Property,Burglary,Larceny,MotorVehicle,Arson,Total,pop_est,normalized
0,LOUISIANA,LA,Acadia,Acadia County,111,3,8,16,84,618,257,315,46,0,1458,62045,23.49907325
1,VIRGINIA,VA,Accomack,Accomack County,57,1,14,9,33,265,62,196,7,1,645,32316,19.95915336
2,IDAHO,ID,Ada,Ada County,220,0,40,5,175,659,125,491,43,6,1764,481587,3.662889571
3,KENTUCKY,KY,Adair,Adair County,4,0,1,0,3,11,2,4,5,0,30,19202,1.562337257
4,MISSOURI,MO,Adair,Adair County,23,0,1,1,21,118,44,71,3,0,282,25343,11.12733299
5,OKLAHOMA,OK,Adair,Adair County,63,0,12,2,49,179,61,81,37,1,485,22194,21.852753
12,WISCONSIN,WI,Adams,Adams County,27,0,0,1,26,187,94,85,8,1,429,20220,21.21661721
11,OHIO,OH,Adams,Adams County,11,0,5,0,6,196,79,100,17,2,416,27698,15.01913496
10,WASHINGTON,WA,Adams,Adams County,17,0,2,2,13,128,57,49,22,0,290,19983,14.51233549
8,PENNSYLVANIA,PA,Adams,Adams County,1,0,0,0,1,0,0,0,0,0,2,103009,0.019415779
7,ILLINOIS,IL,Adams,Adams County,30,0,15,0,15,165,64,93,8,0,390,65435,5.960113089
6,NORTH DAKOTA,ND,Adams,Adams County,2,0,0,0,2,19,4,14,1,0,42,2216,18.95306859
9,NEBRASKA,NE,Adams,Adams County,5,0,2,0,3,62,18,42,2,0,134,31363,4.272550458
13,SOUTH CAROLINA,SC,Aiken,Aiken County,478,10,97,42,329,"2,881",860,"1,654",367,6,6724,170872,39.35109322
14,MINNESOTA,MN,Aitkin,Aitkin County,10,1,2,1,6,166,63,91,12,1,353,15886,22.22082337
15,FLORIDA,FL,Alachua,Alachua County,734,7,106,105,516,"1,938",545,"1,257",136,18,5362,269043,19.92989968
16,NORTH CAROLINA,NC,Alamance,Alamance County,,0,,6,90,677,296,342,39,3,1453,169509,8.571816246
17,CALIFORNIA,CA,Alameda,Alameda County,670,7,35,223,405,"2,064",385,"1,192",487,23,5491,1671329,3.285409396
18,NEW YORK,NY,Albany,Albany County,16,0,6,0,10,114,19,82,13,1,261,305506,0.854320373
19,WYOMING,WY,Albany,Albany County,6,0,0,1,5,57,16,38,3,1,127,38880,3.266460905
20,VIRGINIA,VA,Albemarle,Albemarle County,144,1,46,20,77,"1,290",118,"1,106",66,1,2869,109330,26.24165371
21,MICHIGAN,MI,Alcona,Alcona County,10,0,5,1,4,52,14,36,2,0,124,10405,11.91734743
22,ILLINOIS,IL,Alexander,Alexander County,7,0,0,1,6,38,10,24,4,0,90,5761,15.6222878
23,OKLAHOMA,OK,Alfalfa,Alfalfa County,5,0,1,1,3,40,7,28,5,2,92,5702,16.13468958
24,MICHIGAN,MI,Alger,Alger County,0,0,0,0,0,2,0,2,0,0,4,9108,0.439174352
25,MICHIGAN,MI,Allegan,Allegan County,90,0,9,2,79,535,109,364,62,3,1253,118081,10.61136
