City,metro_black,police_per_1k,offenses_per_1k,median_income
New York,15.80719,6.133632659,40.86835756,77003
Los Angeles,6.4486,3.22849533,65.62208340000001,71074
Chicago,16.3276,5.180293408,83.91516323,74605
Dallas,15.78827,2.628324397,80.42261636,73537
Houston,17.03209,2.66869541,100.7221427,70362
Washington,25.07391,6.43457588,104.2230463,108625
Miami,20.32081,3.680395394,83.89441218,56534
Philadelphia,20.54679,4.641707564,80.38232647,75330
Atlanta,34.120940000000004,4.005192439,108.6461361,69612
Boston,7.88868,3.908313696,52.77591039,89184
Phoenix,5.3792300000000015,2.360442326,84.64563119,67192
San Francisco,7.1958,3.275676332,124.8242965,104194
Riverside,7.0998800000000015,1.576934464,72.19157639,61903
Detroit,22.11219,4.497411642,127.5229973,64665
Seattle,5.9927199999999985,2.630732176,116.7336915,88843
Minneapolis,8.68224,2.421420582,94.25560581,84210
San Diego,4.70293,1.623395835,45.7634729,79436
Tampa,11.7893,3.069131812,41.70812709,59054
Denver,5.51607,2.530714747,88.19762884,84176
St. Louis,18.32751,5.239918534,154.85784109999997,67295
Baltimore,29.21593,4.847746087,126.8044847,84710
Orlando,15.72926,3.292881585,112.26144920000002,59050
Charlotte,22.5724,2.514939838,81.7699077,64840
San Antonio,6.55463,1.943055671,92.53128638,63562
Portland,2.99841,1.790767733,119.59346380000001,76453
Sacramento,6.99558,1.869686039,74.23126912,76325
Pittsburgh,8.38897,3.3019990480000003,72.23412132,65487
Las Vegas,11.66744,2.757861578,68.91734929,61465
Cincinnati,12.5336,3.864852692,107.59988340000001,67953
Austin,7.06636,2.488328895,76.85463721,82689
Kansas City,12.34711,3.688794703,118.3740101,71299
Columbus,15.86497,2.526395511,80.50406912,69797
Cleveland,19.75577,4.354426957,117.6527169,63186
Indianapolis,15.38647,3.592818465,108.3007439,66761
San Jose,2.31238,1.479989115,57.78163954,108333
Nashville,15.2509,2.559388893,102.5780344,68340
Virginia Beach,30.308840000000004,2.113077355,36.89348804,71665
Providence,5.50422,2.802923921,72.18777925,69947
Milwaukee,16.37979,3.869923559,88.11169556,69522
Jacksonville,21.27874,3.356904739,78.67690124,64783
Oklahoma City,10.44116,2.116593357,98.00041658,66182
Memphis,47.28525,3.994014345,167.4174289,58853
Richmond,29.60238,3.657682656,87.17549483,76436
New Orleans,34.9014,3.67582132,114.40710039999999,58992
Salt Lake City,1.68453,2.87712268,138.2992898,71932
Hartford,10.8507,3.452000942,93.94315976,84411
Birmingham,29.01968,4.639919454,165.1991793,61110
Buffalo,11.96397,3.76811931,97.76584992,64665
Rochester,11.00159,4.15501129,83.7116817,66157
Grand Rapids,6.50623,1.671423154,51.50477977,64906
Tucson,3.38917,1.8887516,114.10664840000001,62694
Fresno,4.63908,1.998804102,78.49301829,57159
Tulsa,8.166960000000001,2.448238484,130.4660583,61290
Honolulu,2.55367,2.478567115,64.08429979,80998
Worcester,4.37646,2.658603132,56.44295014,72729
Bridgeport,10.97441,3.030942862,51.5737064,101381
Omaha,7.63152,2.164691244,80.71571170000001,73201
Greenville,16.47206,2.488335925,62.85193329,56709
Bakersfield,5.20605,1.3926023509999998,94.03048165,55584
Knoxville,5.7260800000000005,2.660970141,109.60334579999999,59712
Albany,8.10321,4.10894815,80.96865401,77340
McAllen,0.41366,2.957821602,55.15956305,35102
New Haven,12.82783,3.506605377,94.90703684,77193
Oxnard,1.7663400000000002,1.686053925,55.50754001,86445
El Paso,3.04948,1.94787651,37.56888743,44856
Allentown,5.24835,1.905653713,53.18580945,68491
Columbia,33.580690000000004,3.3997304180000003,116.1225101,62253
Baton Rouge,35.80084,3.536634192,125.5260465,63944
North Port,6.34052,2.068496794,38.50359032,67975
Dayton,15.70595,3.026539324,109.01252020000001,63557
Charleston,25.45138,3.749307035,47.66142444,69677
Greensboro,27.09952,2.662820749,73.36565541,56093
Cape Coral,8.08365,1.6554088219999998,31.6071305,64089
Stockton,7.10653,2.142688355,103.9634945,61064
Little Rock,23.74093,3.51752238,160.1651881,61437
Colorado Springs,5.89061,2.111970522,78.24691589,72846
Boise,0.99011,1.640023554,46.07768303,64468
Lakeland,14.63188,3.202087287,68.93154284,52649
Akron,12.38074,2.4027517830000003,90.08042895,64126
Ogden,1.1704,1.985938641,83.08984659999999,69472
Madison,4.49182,2.302141572,60.14973593,80472
Daytona Beach,10.29768,4.230044908,119.5277416,56253
Syracuse,8.10021,3.409511699,76.06424973,66311
Wichita,7.30065,2.103511128,136.3325386,63726
Provo,0.5846,1.076398895,38.96224976,58522
Springfield,6.50024,3.557182351,72.60002964,64488
Augusta,35.29057,3.185229175,73.20628408,62659
Toledo,14.59981,2.494336837,91.30145479,59234
Palm Bay,9.96198,1.851162955,44.57848399,62318
Durham,26.04847,2.341475531,78.26592002,75727
Harrisburg,10.20118,3.418316479,73.00547338,70981
Spokane,1.73237,1.878820651,157.6697125,63801
Chattanooga,13.541720000000002,3.33154099,142.2418333,59763
Scranton,3.47048,2.184331916,59.7479024,57361
