,metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source,police_per_1k,offenses_per_1k,median_income
0,35620,"New York-Newark-Jersey City, NY-NJ-PA",-74.08436999999999,40.92033,6,100,46.344390000000004,24.64721,15.80719,11.438039999999999,0.17574,1.58744,New York,NY,New York County,10004.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,6.133632659,40.86835756,77003
1,31080,"Los Angeles-Long Beach-Anaheim, CA",-118.14931999999999,34.22097,6,100,29.476290000000002,45.1683,6.4486,16.46581,0.18977,2.25123,Los Angeles,CA,La Salle County,78014.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.22849533,65.6220834,71074
2,16980,"Chicago-Naperville-Elgin, IL-IN-WI",-87.96261,41.702490000000004,6,100,52.591519999999996,22.41137,16.3276,7.00777,0.12722999999999998,1.53452,Chicago,IL,Cook County,60601.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,5.180293408,83.91516323,74605
3,19100,"Dallas-Fort Worth-Arlington, TX",-97.02543,32.81841,6,100,45.75036,29.04334,15.78827,7.263139999999999,0.36657,1.7883200000000001,Dallas,TX,Dallas County,75201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.628324397,80.42261636,73537
4,26420,"Houston-The Woodlands-Sugar Land, TX",-95.3995,29.78605,6,100,35.64306,37.63239,17.03209,8.00725,0.22344,1.46176,Houston,TX,Harris County,77001.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.66869541,100.7221427,70362
5,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.47405,38.833420000000004,6,100,45.07073,16.12978,25.07391,10.6685,0.2116,2.84548,Washington,DC,,,US,US Census Bureau,6.43457588,104.2230463,108625
6,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.50479,26.15622,6,100,29.97581,45.838570000000004,20.32081,2.58028,0.13672,1.14781,Miami,FL,Miami-Dade County,33231.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.6803953939999996,83.89441218,56534
7,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-75.30339000000001,39.9047,6,100,61.428219999999996,9.70871,20.546789999999998,6.22601,0.16064,1.9296200000000001,Philadelphia,PA,Philadelphia County,19019.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,4.641707564,80.38232647,75330
8,12060,"Atlanta-Sandy Springs-Roswell, GA",-84.39952,33.69269,6,100,46.64287,10.87732,34.120940000000004,6.22116,0.18829,1.94943,Atlanta,GA,Fulton County,30301.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,4.005192439,108.6461361,69612
9,14460,"Boston-Cambridge-Newton, MA-NH",-71.1002,42.55728,3,100,70.14175,11.54695,7.88868,8.467360000000001,0.14812999999999998,1.80712,Boston,MA,Suffolk County,2101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.9083136960000004,52.77591039,89184
10,38060,"Phoenix-Mesa-Scottsdale, AZ",-112.07055,33.1858,1,100,55.05535,31.19998,5.379230000000001,4.27344,1.9260099999999998,2.1659900000000003,Phoenix,AZ,Maricopa County,85001.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.360442326,84.64563119,67192
11,41860,"San Francisco-Oakland-Hayward, CA",-122.16705,37.78109,6,100,39.25676,21.86105,7.1958,27.605529999999998,0.22716999999999998,3.8537,San Francisco,CA,San Francisco County,94101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.2756763319999997,124.8242965,104194
12,40140,"Riverside-San Bernardino-Ontario, CA",-116.12966999999999,34.5517,6,100,31.52928,51.62665,7.099880000000001,7.0759300000000005,0.43376000000000003,2.2345099999999998,Riverside,CA,Riverside County,92501.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.576934464,72.19157639,61903
13,19820,"Detroit-Warren-Dearborn, MI",-83.23208000000001,42.71913,2,100,66.19941,4.5567,22.11219,4.67638,0.2996,2.15572,Detroit,MI,Wayne County,48201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,4.497411642,127.5229973,64665
14,42660,"Seattle-Tacoma-Bellevue, WA",-121.85418,47.55648,6,100,62.61025,10.21802,5.992719999999999,15.55284,0.8227,4.80347,Seattle,WA,King County,98060.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.630732176,116.7336915,88843
15,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",-93.34557,45.06504,3,100,75.24687,5.98147,8.68224,6.94612,0.5948399999999999,2.54845,Minneapolis,MN,Hennepin County,55401.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.421420582,94.25560581,84210
