critic,audience,criticNum,audienceNum,date,film
76%,97%,71,coming,2018-12-12,Aquaman
74%,96%,87,coming,2018-12-13,Aquaman
72%,96%,95,coming,2018-12-14,Aquaman
70%,96%,107,coming,2018-12-15,Aquaman
70%,96%,110,coming,2018-12-16,Aquaman
71%,96%,117,coming,2018-12-17,Aquaman
69%,96%,134,coming,2018-12-18,Aquaman
68%,96%,150,coming,2018-12-19,Aquaman
68%,96%,177,coming,2018-12-20,Aquaman
64%,86%,236,,2018-12-21,Aquaman
63%,86%,252,,2018-12-22,Aquaman
64%,85%,255,,2018-12-23,Aquaman
64%,84%,261,,2018-12-24,Aquaman
64%,82%,263,Aquaman,2018-12-25,Aquaman
64%,82%,270,,2018-12-26,Aquaman
64%,82%,278,,2018-12-27,Aquaman
64%,82%,288,Aquaman,2018-12-28,Aquaman
64%,81%,290,,2018-12-29,Aquaman
64%,81%,291,Aquaman,2018-12-30,Aquaman
64%,81%,293,,2018-12-31,Aquaman
64%,81%,295,Aquaman,2019-01-01,Aquaman
64%,81%,295,Aquaman,2019-01-02,Aquaman
64%,80%,298,Aquaman,2019-01-03,Aquaman
64%,80%,306,Aquaman,2019-01-04,Aquaman
64%,80%,307,Aquaman,2019-01-05,Aquaman
64%,80%,307,,2019-01-06,Aquaman
65%,80%,311,,2019-01-07,Aquaman
65%,80%,312,,2019-01-08,Aquaman
65%,80%,312,Aquaman,2019-01-09,Aquaman
64%,80%,315,,2019-01-10,Aquaman
64%,80%,316,,2019-01-11,Aquaman
64%,79%,316,,2019-01-12,Aquaman
64%,79%,316,Aquaman,2019-01-13,Aquaman
64%,79%,316,Aquaman,2019-01-14,Aquaman
64%,79%,317,Aquaman,2019-01-15,Aquaman
64%,79%,317,,2019-01-16,Aquaman
64%,79%,319,Aquaman,2019-01-17,Aquaman
64%,79%,322,,2019-01-18,Aquaman
64%,79%,322,,2019-01-19,Aquaman
64%,79%,323,,2019-01-20,Aquaman
64%,79%,323,,2019-01-21,Aquaman
64%,79%,323,,2019-01-22,Aquaman
64%,79%,324,Aquaman,2019-01-23,Aquaman
64%,78%,325,,2019-01-24,Aquaman
64%,78%,326,,2019-01-25,Aquaman
64%,78%,327,,2019-01-26,Aquaman
64%,78%,327,Aquaman,2019-01-27,Aquaman
64%,78%,328,,2019-01-28,Aquaman
64%,78%,330,,2019-01-29,Aquaman
64%,78%,332,,2019-01-30,Aquaman
64%,78%,332,,2019-01-31,Aquaman
64%,78%,332,,2019-02-01,Aquaman
65%,78%,333,,2019-02-02,Aquaman
65%,78%,333,,2019-02-03,Aquaman
65%,78%,334,,2019-02-04,Aquaman
65%,78%,334,,2019-02-05,Aquaman
65%,78%,334,,2019-02-06,Aquaman
65%,78%,334,,2019-02-07,Aquaman
65%,78%,334,,2019-02-08,Aquaman
65%,78%,334,,2019-02-09,Aquaman
65%,78%,334,,2019-02-10,Aquaman
65%,78%,334,,2019-02-11,Aquaman
65%,78%,334,,2019-02-12,Aquaman
