critic,audience,criticNum,audienceNum,date,film
80%,Coming,45,User Ratings: Not yet available,2020-08-22,Tenet
80%,Coming,45,User Ratings: Not yet available,2020-08-23,Tenet
81%,Coming,48,User Ratings: Not yet available,2020-08-24,Tenet
84%,Coming,75,User Ratings: Not yet available,2020-08-25,Tenet
84%,Coming,75,User Ratings: Not yet available,2020-08-26,Tenet
85%,Coming,88,User Ratings: Not yet available,2020-08-27,Tenet
81%,Coming,119,User Ratings: Not yet available,2020-08-28,Tenet
81%,Coming,119,User Ratings: Not yet available,2020-08-29,Tenet
82%,Coming,130,User Ratings: Not yet available,2020-08-30,Tenet
82%,Coming,130,User Ratings: Not yet available,2020-08-31,Tenet
79%,92%,145,38,2020-09-01,Tenet
76%,91%,165,79,2020-09-02,Tenet
75%,87%,185,104,2020-09-03,Tenet
75%,83%,204,286,2020-09-04,Tenet
74%,80%,214,612,2020-09-05,Tenet
74%,79%,215,"1,032",2020-09-06,Tenet
74%,79%,216,"1,398",2020-09-07,Tenet
74%,78%,220,"1,718",2020-09-08,Tenet
74%,78%,223,"1,915",2020-09-09,Tenet
75%,78%,229,"2,060",2020-09-10,Tenet
75%,78%,236,"2,158",2020-09-11,Tenet
74%,77%,239,"2,342",2020-09-12,Tenet
74%,77%,239,"2,595",2020-09-13,Tenet
74%,76%,243,"2,792",2020-09-14,Tenet
73%,76%,248,"2,868",2020-09-15,Tenet
74%,76%,250,"2,965",2020-09-16,Tenet
73%,77%,251,"3,030",2020-09-17,Tenet
73%,77%,251,"3,108",2020-09-18,Tenet
73%,77%,252,"3,267",2020-09-19,Tenet
73%,76%,253,"3,389",2020-09-20,Tenet
73%,76%,253,"3,554",2020-09-21,Tenet
73%,76%,253,"3,565",2020-09-22,Tenet
72%,76%,256,"3,710",2020-09-23,Tenet
72%,76%,257,"3,748",2020-09-24,Tenet
71%,76%,258,"3,783",2020-09-25,Tenet
71%,76%,258,"3,949",2020-09-26,Tenet
71%,76%,259,"4,056",2020-09-27,Tenet
71%,76%,262,"4,098",2020-09-28,Tenet
71%,76%,263,"4,127",2020-09-29,Tenet
71%,76%,263,"4,244",2020-09-30,Tenet
71%,76%,263,"4,244",2020-10-01,Tenet
71%,76%,264,"4,275",2020-10-02,Tenet
71%,76%,265,"4,385",2020-10-03,Tenet
71%,76%,266,"4,481",2020-10-04,Tenet
71%,76%,266,"4,497",2020-10-05,Tenet
71%,76%,266,"4,566",2020-10-06,Tenet
71%,76%,266,"4,631",2020-10-07,Tenet
71%,76%,266,"4,660",2020-10-08,Tenet
71%,76%,266,"4,708",2020-10-09,Tenet
71%,76%,268,"4,785",2020-10-10,Tenet
71%,76%,268,"4,785",2020-10-11,Tenet
71%,76%,268,"4,847",2020-10-12,Tenet
71%,76%,269,"4,883",2020-10-13,Tenet
71%,76%,269,"4,915",2020-10-14,Tenet
71%,76%,269,"4,929",2020-10-15,Tenet
71%,76%,269,"4,947",2020-10-16,Tenet
71%,76%,269,"4,993",2020-10-17,Tenet
71%,76%,269,"5,055",2020-10-18,Tenet
71%,76%,272,"5,101",2020-10-19,Tenet
71%,76%,272,"5,124",2020-10-20,Tenet
71%,76%,272,"5,143",2020-10-21,Tenet
71%,76%,273,"5,164",2020-10-22,Tenet
71%,76%,273,"5,189",2020-10-23,Tenet
71%,76%,273,"5,258",2020-10-24,Tenet
71%,76%,273,"5,258",2020-10-25,Tenet
71%,76%,273,"5,333",2020-10-27,Tenet
71%,76%,273,"5,348",2020-10-28,Tenet
71%,76%,273,"5,359",2020-10-29,Tenet
71%,76%,273,"5,362",2020-10-30,Tenet
71%,76%,276,"5,376",2020-10-31,Tenet
71%,76%,276,"5,411",2020-11-01,Tenet
71%,76%,276,"5,451",2020-11-02,Tenet
71%,76%,276,"5,470",2020-11-03,Tenet
71%,76%,276,"5,486",2020-11-04,Tenet
71%,76%,276,"5,503",2020-11-05,Tenet
71%,76%,276,"5,513",2020-11-06,Tenet
71%,76%,276,"5,549",2020-11-07,Tenet
71%,76%,276,"5,574",2020-11-08,Tenet
71%,76%,276,"5,582",2020-11-09,Tenet
71%,76%,276,"5,582",2020-11-10,Tenet
71%,76%,276,"5,598",2020-11-11,Tenet
71%,76%,276,"5,611",2020-11-12,Tenet
71%,76%,277,"5,620",2020-11-13,Tenet
71%,76%,277,"5,636",2020-11-14,Tenet
71%,76%,277,"5,653",2020-11-15,Tenet
71%,76%,277,"5,677",2020-11-16,Tenet
71%,76%,277,"5,685",2020-11-17,Tenet
71%,76%,277,"5,693",2020-11-18,Tenet
71%,76%,277,"5,699",2020-11-19,Tenet
71%,76%,278,"5,701",2020-11-20,Tenet
71%,76%,278,"5,707",2020-11-21,Tenet
71%,76%,277,"5,677",2020-11-22,Tenet
71%,76%,278,"5,728",2020-11-23,Tenet
71%,76%,278,"5,733",2020-11-24,Tenet
71%,76%,278,"5,741",2020-11-25,Tenet
71%,76%,278,"5,743",2020-11-26,Tenet
71%,76%,280,"5,777",2020-11-27,Tenet
71%,76%,279,"5,757",2020-11-28,Tenet
71%,76%,279,"5,766",2020-11-29,Tenet
71%,76%,279,"5,766",2020-11-30,Tenet
71%,76%,280,"5,775",2020-12-01,Tenet
71%,76%,280,"5,777",2020-12-02,Tenet
71%,76%,280,"5,777",2020-12-03,Tenet
71%,76%,282,"5,779",2020-12-04,Tenet
71%,76%,282,"5,781",2020-12-05,Tenet
71%,76%,282,"5,789",2020-12-06,Tenet
71%,76%,282,"5,789",2020-12-07,Tenet
71%,76%,282,"5,793",2020-12-08,Tenet
71%,76%,282,"5,794",2020-12-09,Tenet
71%,76%,284,"5,795",2020-12-10,Tenet
71%,76%,284,"5,795",2020-12-11,Tenet
71%,76%,285,"5,798",2020-12-12,Tenet
71%,76%,288,"5,802",2020-12-13,Tenet
71%,76%,288,"5,802",2020-12-14,Tenet
71%,76%,292,"5,804",2020-12-15,Tenet
71%,76%,293,"5,804",2020-12-16,Tenet
71%,76%,294,"5,806",2020-12-17,Tenet
