critic,audience,criticNum,audienceNum,date,film
33%,Coming,24,User Ratings: Not yet available,2021-01-13,The Marksman
37%,Coming,27,User Ratings: Not yet available,2021-01-14,The Marksman
31%,88%,51,41,2021-01-16,The Marksman
31%,88%,51,41,2021-01-18,The Marksman
31%,88%,51,41,2021-01-19,The Marksman
31%,88%,51,41,2021-01-20,The Marksman
31%,88%,51,41,2021-01-21,The Marksman
31%,88%,51,41,2021-01-22,The Marksman
31%,88%,51,41,2021-01-23,The Marksman
31%,88%,51,41,2021-01-24,The Marksman
31%,88%,51,41,2021-01-25,The Marksman
34,86,74 Reviews,250+ Ratings,2021-01-26,The Marksman
34,86,74 Reviews,250+ Ratings,2021-01-27,The Marksman
34,86,74 Reviews,250+ Ratings,2021-01-28,The Marksman
34,86,74 Reviews,250+ Ratings,2021-01-29,The Marksman
34,86,74 Reviews,250+ Ratings,2021-01-30,The Marksman
34,86,74 Reviews,250+ Ratings,2021-01-31,The Marksman
34,86,74 Reviews,250+ Ratings,2021-02-01,The Marksman
34,86,74 Reviews,250+ Ratings,2021-02-02,The Marksman
34,86,74 Reviews,250+ Ratings,2021-02-03,The Marksman
34,86,74 Reviews,250+ Ratings,2021-02-04,The Marksman
34,86,74 Reviews,250+ Ratings,2021-02-05,The Marksman
67%,53%,122,User Ratings: 445,2020-05-27,Lovebirds
67%,53%,122,User Ratings: 445,2020-05-28,Lovebirds
66%,52%,133,User Ratings: 520,2020-05-29,Lovebirds
66%,52%,133,User Ratings: 520,2020-05-30,Lovebirds
66%,52%,133,User Ratings: 583,2020-05-31,Lovebirds
66%,51%,134,User Ratings: 591,2020-06-01,Lovebirds
66%,51%,135,User Ratings: 607,2020-06-02,Lovebirds
66%,51%,135,User Ratings: 607,2020-06-03,Lovebirds
66%,51%,135,User Ratings: 607,2020-06-04,Lovebirds
66%,51%,141,User Ratings: 657,2020-06-05,Lovebirds
66%,51%,141,User Ratings: 657,2020-06-06,Lovebirds
66%,51%,141,User Ratings: 657,2020-06-07,Lovebirds
65%,51%,142,User Ratings: 685,2020-06-08,Lovebirds
65%,51%,142,User Ratings: 685,2020-06-10,Lovebirds
65%,51%,142,User Ratings: 685,2020-06-11,Lovebirds
66%,51%,148,User Ratings: 718,2020-06-12,Lovebirds
66%,51%,148,User Ratings: 718,2020-06-13,Lovebirds
66%,51%,148,User Ratings: 718,2020-06-14,Lovebirds
66%,51%,148,User Ratings: 718,2020-06-16,Lovebirds
66%,51%,152,User Ratings: 743,2020-06-17,Lovebirds
66%,51%,152,User Ratings: 743,2020-06-19,Lovebirds
66%,51%,152,User Ratings: 743,2020-06-20,Lovebirds
66%,51%,152,User Ratings: 743,2020-06-21,Lovebirds
66%,51%,152,User Ratings: 743,2020-06-22,Lovebirds
65%,51%,159,User Ratings: 796,2020-06-24,Lovebirds
65%,51%,159,User Ratings: 796,2020-06-25,Lovebirds
65%,51%,159,User Ratings: 796,2020-06-26,Lovebirds
65%,51%,159,User Ratings: 796,2020-06-27,Lovebirds
65%,51%,159,User Ratings: 796,2020-06-28,Lovebirds
65%,51%,159,User Ratings: 796,2020-06-30,Lovebirds
65%,51%,159,User Ratings: 796,2020-07-03,Lovebirds
65%,51%,159,User Ratings: 796,2020-07-06,Lovebirds
65%,51%,159,User Ratings: 796,2020-07-07,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-11,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-12,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-13,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-15,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-16,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-17,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-18,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-19,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-20,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-21,Lovebirds
66%,51%,163,User Ratings: 871,2020-07-24,Lovebirds
65%,50%,165,User Ratings: 884,2020-07-31,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-01,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-03,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-04,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-06,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-07,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-08,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-09,Lovebirds
65%,50%,165,User Ratings: 884,2020-08-10,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-11,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-12,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-13,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-15,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-16,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-18,Lovebirds
65%,51%,165,User Ratings: 899,2020-08-19,Lovebirds
65%,50%,167,User Ratings: 910,2020-09-11,Lovebirds
65%,50%,167,User Ratings: 910,2020-09-12,Lovebirds
65%,50%,167,User Ratings: 910,2020-09-14,Lovebirds
65%,50%,167,User Ratings: 910,2020-09-16,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-17,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-19,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-20,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-22,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-23,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-24,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-27,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-28,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-29,Lovebirds
65%,50%,167,User Ratings: 912,2020-09-30,Lovebirds
65%,50%,167,User Ratings: 912,2020-10-01,Lovebirds
65%,50%,167,User Ratings: 912,2020-10-02,Lovebirds
65%,50%,167,User Ratings: 912,2020-10-05,Lovebirds
