,url,title,faves,comments,views,tags,date,datetime,year,month
0,https://www.deviantart.com/2dforever/art/Sonic-Warrior-272684800,Sonic Warrior,1000,122,15000,[],"Dec 6, 2011",2011-12-06,2011,12
1,https://www.deviantart.com/495557939/art/MMD-SonicForces-Aibo-Buddy-Avatar-1-0-744320551,MMD SonicForces Aibo (Buddy)(Avatar) 1.0,258,37,11000,"['2017', '2018', '2019', '2020', '3d', 'aibo', 'animation', 'animations', 'anm', 'avatar', 'blue', 'buddy', 'cg', 'cgi', 'classicsonic', 'dance', 'deep', 'flash', 'hd', 'mania', 'mmd', 'nextgeneration', 'ns', 'ova', 'ps2', 'ps3', 'ps4', 'ray', 'sega', 'shadow', 'shadowthehedgehog', 'song', 'sonic', 'sonic_the_hedgehog', 'sonicthehedgehog', 'swf', 'video', 'xbox', 'xbox360', '1080p', 'shadow_the_hedgehog', 'ソニック', 'mikumikudance', 'sonic_ova', 'sonicmania', 'mmdmodel', 'sonic_oc', 'mmddownload', 'mmdsonic', 'animationanime', 'mmd_dl', 'classic_sonic', 'mmddownloads', 'xbox_one', '索尼克', 'mmd_stage', 'sonicmania2017', 'mmd_model_download', 'sonicforces', 'sonic_forces', 'sonicmaniafanart', '音速小子', '超音鼠', 'sonicmaniaplus']","May 10, 2018",2018-05-10,2018,5
2,https://www.deviantart.com/6t76t/art/Sonic-exe-Icon-348759309,Sonic.exe Icon,765,225,28000,[],"Jan 16, 2013",2013-01-16,2013,1
3,https://www.deviantart.com/8-xenon-8/art/Sonic-Boom-432310520,Sonic Boom,1000,173,22000,[],"Feb 7, 2014",2014-02-07,2014,2
4,https://www.deviantart.com/abysswolf/art/Smash4-DLC-update-510801485,Smash4 (DLC update),11000,581,170000,"['ike', 'bowser', 'bowserjr', 'captainfalcon', 'charizard', 'diddykong', 'doctormario', 'donkeykong', 'falco', 'ganondorf', 'jigglypuff', 'kirby', 'link', 'littlemac', 'lucario', 'lucina', 'luigi', 'mario', 'marth', 'megamanrockman', 'mrgameandwatch', 'ness', 'nintendo', 'olimar', 'pacman', 'pikachu', 'pit', 'pixelart', 'rob', 'robin', 'samus', 'smashbrothers', 'sonic', 'sprite', 'villager', 'wario', 'zelda', 'palutena', 'zerosuitsamus', 'peachtoadstool', 'darkpit', 'duckhuntdog', 'greninja', 'wiifittrainer', 'foxythepirate']","Jan 31, 2015",2015-01-31,2015,1
5,https://www.deviantart.com/achird/art/Sonic-Hetalia-Allied-Powers-252706459,Sonic-Hetalia: Allied Powers,764,283,20000,[],"Aug 14, 2011",2011-08-14,2011,8
6,https://www.deviantart.com/adeleanis/art/Sonic-Fake-Screencaps-126937807,Sonic Fake Screencaps,2000,589,34000,"['screencap', 'screencapture']","Jun 23, 2009",2009-06-23,2009,6
7,https://www.deviantart.com/adeleanis/art/Sticks-in-blue-589278115,Sticks in blue,2000,218,17000,"['sonic', 'fanbook', 'sega', 'sonicboom', 'sonicthehedgehog', 'sticks', 'sticksthebadger']","Feb 7, 2016",2016-02-07,2016,2
8,https://www.deviantart.com/aerobian-angel/art/Sonic-Colors-Success-191189667,Sonic Colors - Success,470,300,10000,[],"Dec 28, 2010",2010-12-28,2010,12
9,https://www.deviantart.com/aerobian-angel/art/Sonic-s-Vocal-Life-190089570,Sonic's Vocal Life,997,503,23000,[],"Dec 19, 2010",2010-12-19,2010,12
10,https://www.deviantart.com/aerobian-angel/art/Sonic-the-Fighters-Next-Opponent-210844531,Sonic the Fighters: Next Opponent,1000,523,48000,[],"May 29, 2011",2011-05-29,2011,5
11,https://www.deviantart.com/aerobian-angel/art/Sonic-vs-Knuckles-Part-1-215160202,Sonic vs Knuckles Part 1,2000,1000,67000,[],"Jun 27, 2011",2011-06-27,2011,6
12,https://www.deviantart.com/agentskull/art/I-don-t-like-you-543740163,I don't like you,1000,57,13000,"['06', 'sega', 'shadow', 'sonic', 'pissedoff']","Jul 3, 2015",2015-07-03,2015,7
13,https://www.deviantart.com/aidenunu/art/Sonic-Sketch-513427410,Sonic Sketch,1000,36,8000,"['blue', 'fanart', 'hedgehog', 'mobian', 'pose', 'sonic']","Feb 12, 2015",2015-02-12,2015,2
14,https://www.deviantart.com/air-city/art/Sonic-Animation-Practice-791034376,Sonic Animation Practice,307,14,795,"['ayer', 'chris', 'sonic', '2danimation', 'sonicthehedgehog', 'aircity']","Mar 25, 2019",2019-03-25,2019,3
15,https://www.deviantart.com/akasabi/art/SONIC-Gijinka-49667707,SONIC Gijinka,3000,349,57000,[],"Feb 26, 2007",2007-02-26,2007,2
16,https://www.deviantart.com/akirunyang/art/Sonic-Dark-Sonic-43515139,Sonic :: Dark Sonic,2000,309,53000,[],"Nov 23, 2006",2006-11-23,2006,11
17,https://www.deviantart.com/akusuru/art/Sonic-CD-349491746,Sonic CD,1000,156,19000,[],"Jan 20, 2013",2013-01-20,2013,1
18,https://www.deviantart.com/akusuru/art/Sonic-Unleashed-369242446,Sonic Unleashed,1000,175,23000,[],"May 2, 2013",2013-05-02,2013,5
19,https://www.deviantart.com/akusuru/art/Study-time-speedpaint-537458252,Study time [+speedpaint],4000,312,45000,"['anthro', 'books', 'cute', 'fanart', 'fox', 'games', 'gaming', 'miles', 'sai', 'sega', 'segasonic', 'sonic', 'segasonicteam', 'milestailsprower', 'sonicthehedgehog', 'tails', 'tailsmilesprower', 'tailsprower', 'tailsthefox', 'segasonicthehedgehog', 'painttoolsai', 'gamingfanart']","Jun 4, 2015",2015-06-04,2015,6
20,https://www.deviantart.com/alcyoneax/art/SONIC-FORCES-713951965,SONIC FORCES,522,16,2000,"['forces', 'infinite', 'sega', 'sonic', 'sonicthehedgehog', 'segasonicteam', 'sonicforces', 'infinitesonicforces']","Nov 7, 2017",2017-11-07,2017,11
21,https://www.deviantart.com/alcyoneax/art/SONIC-MANIA-699058237,SONIC MANIA,829,60,5000,"['knuckles', 'sega', 'sonic', 'tails', 'knucklestheechidna', 'milestailsprower', 'segasonic', 'sonicfanart', 'sonicteam', 'sonicthehedgehog', 'sonicthehedgehogfanart', 'tailsmilesprower', 'sonicmania', 'segasonicteam', 'sonic_mania']","Aug 16, 2017",2017-08-16,2017,8
