name,role,presence,show,num_shows
 'Malibu' Mike Bryant,Series Location Management,"            key assistant location manager (8 episodes, 2017)          ",Legion                  (2017–2019),35
 A. Smith Harrison,Gerald Trainor,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 A.J. Bruno,Series Second Unit Director or Assistant Director,            second assistant director (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 A.J. Paug,Series Additional Crew,"            choreographer (1 episode, 2021)          ",WandaVision                  (2021),35
 A.J. Vargas,Series Additional Crew,"            Manager: Visual Development (6 episodes, 2021)          ",WandaVision                  (2021),35
 Aadel Forootan,Series Visual Effects by,"            cg supervisor (3 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Aaren Perrier,Series Makeup Department,"            makeup artist: Dailies (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Aaron Anthony Harper,Series Additional Crew,"            Additional Set PA LA Unit additional photography (6 episodes, 2021)          ",WandaVision                  (2021),35
 Aaron Charny,Series Visual Effects by,"            roto/paint artist (3 episodes, 2019)          ",Legion                  (2017–2019),35
 Aaron Cheung,Series Camera and Electrical Department,"            digital utility person (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Aaron Gillespie,Security Guard,"1 episode, 2021                        ",WandaVision                  (2021),35
 Aaron Guest,Teen Boy,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Aaron Herrera,Series Visual Effects by,"            Tracking and Layout Artist: Encore Hollywood (4 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Aaron Lamar,Third Eye Boy,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Aaron Levy,Series Sound Department,"            re-recording mixer (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Aaron Olson,Series Camera and Electrical Department,            phantom technician (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Aaron Rodriguez,Series Art Department,            standby painter (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
