name,role,presence,show,num_shows
 Aaron Shore,['Series Additional Crew' 'Series Transportation Department'],"['            office production assistant (12 episodes, 2019)          '
 '            assistant picture car coordinator (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Abby Coyne,Series Costume and Wardrobe Department,"['            set costumer (6 episodes, 2020)          '
 '            set costumer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Adam Baker,['Series Animation Department' 'Series Visual Effects by'],"['            animator: Spin VFX (uncredited) (unknown episodes)          '
 '            lead animator: Spin VFX / animator: Spin VFX (15 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Akshay Dandekar,Series Visual Effects by,"['            visual effects editor (6 episodes, 2021)          '
 '            visual effects editor: MARZ VFX / visual effects editor: Marz VFX (10 episodes, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Alan Heckner,['Bump Weathers' 'Agent Monti'],"['3 episodes, 2019                        '
 '4 episodes, 2021                        ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Alex Chiu,Series Visual Effects by,"['            digital matter painter (4 episodes, 2021)          '
 '            digital matte painter (20 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Alex Hirtenstein,Series Visual Effects by,"['            motion graphics: matte painter (uncredited) (unknown episodes)          '
 '            senior environment artist / environment artist (7 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Alex Meglei,Series Stunts,"['            stunt performer (2 episodes, 2019)          '
 '            stunts (uncredited) (unknown episodes)          ']","['Doom Patrol                  (2019– )'
 'Legion                  (2017–2019)']",2
 Alexander Lowe,Series Sound Department,"['            pro tools playback mixer (2 episodes, 2020)          '
 '            pro tools playback mixer (1 episode, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Allen Robinson,Series Camera and Electrical Department,"['            grip (5 episodes, 2019)          '
 '            Grip (4 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Alli Beckman,Series Stunts,"['            stunt performer (1 episode, 2019)          '
 '            stunt rigger / utility stunt performer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Allison Glennon,Series Visual Effects by,"['            visual effects producer (5 episodes, 2021)          '
 '            visual effects producer: Lola VFX (1 episode, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Amelie Poitras,Series Visual Effects by,"['            visual effects producer: Folks (uncredited) (unknown episodes)          '
 '            visual effects producer: Folks (2 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Amie Doherty,Series Music Department,"['            orchestrator (uncredited) (unknown episodes)          '
 '            orchestrator (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Andrew Brady,Series Music Department,"['            music coordinator (uncredited) / assistant music coordinator (uncredited) (unknown episodes)          '
 '            music coordinator (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Andy Bergholtz,['Series Makeup Department' 'Series Special Effects by'],"['            designer: KNB EFX Group (8 episodes, 2019)          '
 '            special effects makeup (uncredited) (unknown episodes)          '
 '            special effects makeup (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Anna Majewski,Series Makeup Department,"['            hair Stylist (1 episode, 2020)          '
 '            2nd & add hair stylist (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Anny Lang,Series Visual Effects by,"['            digital compositor (uncredited) (unknown episodes)          '
 '            compositor (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Anthony De Chellis,Series Visual Effects by,"['            CG Supervisor: MARZ VFX (7 episodes, 2021)          '
 '            cg supervisor: MARZ VFX / CG Supervisor: MARZ VFX (8 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Arminus Billones,Series Visual Effects by,"['            digital compositor (uncredited) (unknown episodes)          '
 '            digital compositor (7 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Athena Perample,Series Stunts,"['            stunt double: Kat Dennings / stunt double: Kate Forbes / stunt double: Kathryn Hahn (3 episodes, 2021)          '
 '            stunts (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Bernadette Valer,Series Additional Crew,"['            first assistant accountant (15 episodes, 2019)          '
 '            production accountant: Dallas Unit (2 episodes, 2020)          ']","['Doom Patrol                  (2019– )'
 'The Umbrella Academy                  (2019– )']",2
